seed,check_index,distance_from_drop,ground_truth_price,baseline_output,baseline_class,stale_spliced_output,stale_spliced_class,stale_changed_from_baseline,control_spliced_output,control_spliced_class,control_changed_from_baseline
1,1,1,$530.16,$534.28,WRONG_CHECK_10,$543.04,WRONG_CHECK_11,True,$534.28,WRONG_CHECK_10,False
1,2,2,$530.16,$534.28,WRONG_CHECK_10,$543.04,WRONG_CHECK_11,True,$534.28,WRONG_CHECK_10,False
1,3,3,$530.16,$534.28,WRONG_CHECK_10,$534.28,WRONG_CHECK_10,False,$534.28,WRONG_CHECK_10,False
1,4,4,$530.16,$534.28,WRONG_CHECK_10,$543.04,WRONG_CHECK_11,True,$534.28,WRONG_CHECK_10,False
1,5,5,$530.16,$534.28,WRONG_CHECK_10,$543.04,WRONG_CHECK_11,True,$534.28,WRONG_CHECK_10,False
1,6,6,$530.16,$534.28,WRONG_CHECK_10,$534.28,WRONG_CHECK_10,False,$534.28,WRONG_CHECK_10,False
1,7,7,$530.16,$534.28,WRONG_CHECK_10,$533.82,WRONG_CHECK_9,True,$534.28,WRONG_CHECK_10,False
1,8,8,$530.16,$534.28,WRONG_CHECK_10,$534.28,WRONG_CHECK_10,False,$534.28,WRONG_CHECK_10,False
1,9,9,$530.16,$534.28,WRONG_CHECK_10,$5334.03,INVALID,True,$534.28,WRONG_CHECK_10,False
1,10,10,$530.16,$534.28,WRONG_CHECK_10,$534.284,INVALID,True,$534.28,WRONG_CHECK_10,False
1,11,11,$530.16,$534.28,WRONG_CHECK_10,$543.044,INVALID,True,$534.28,WRONG_CHECK_10,False
1,12,12,$530.16,$534.28,WRONG_CHECK_10,$5328.45,INVALID,True,$534.28,WRONG_CHECK_10,False
1,13,13,$530.16,$534.28,WRONG_CHECK_10,$543.04,WRONG_CHECK_11,True,$534.28,WRONG_CHECK_10,False
1,14,14,$530.16,$534.28,WRONG_CHECK_10,$543.04,WRONG_CHECK_11,True,$534.28,WRONG_CHECK_10,False
2,1,1,$494.33,$496.23,WRONG_CHECK_9,$496.23,WRONG_CHECK_9,False,$496.23,WRONG_CHECK_9,False
2,2,2,$494.33,$496.23,WRONG_CHECK_9,$493.86,WRONG_CHECK_5,True,$496.23,WRONG_CHECK_9,False
2,3,3,$494.33,$496.23,WRONG_CHECK_9,$493.86,WRONG_CHECK_5,True,$496.23,WRONG_CHECK_9,False
2,4,4,$494.33,$496.23,WRONG_CHECK_9,$496.23,WRONG_CHECK_9,False,$496.23,WRONG_CHECK_9,False
2,5,5,$494.33,$496.23,WRONG_CHECK_9,$493.86,WRONG_CHECK_5,True,$496.23,WRONG_CHECK_9,False
2,6,6,$494.33,$496.23,WRONG_CHECK_9,$493.86,WRONG_CHECK_5,True,$496.23,WRONG_CHECK_9,False
2,7,7,$494.33,$496.23,WRONG_CHECK_9,$494.33,CORRECT,True,$496.23,WRONG_CHECK_9,False
2,8,8,$494.33,$496.23,WRONG_CHECK_9,$489.13,WRONG_CHECK_13,True,$496.23,WRONG_CHECK_9,False
2,9,9,$494.33,$496.23,WRONG_CHECK_9,$500.39,WRONG_CHECK_7,True,$496.23,WRONG_CHECK_9,False
2,10,10,$494.33,$496.23,WRONG_CHECK_9,$510.782,INVALID,True,$496.23,WRONG_CHECK_9,False
2,11,11,$494.33,$496.23,WRONG_CHECK_9,$554.65,INVALID,True,$496.23,WRONG_CHECK_9,False
2,12,12,$494.33,$496.23,WRONG_CHECK_9,$510.78,WRONG_CHECK_10,True,$496.23,WRONG_CHECK_9,False
2,13,13,$494.33,$496.23,WRONG_CHECK_9,$444.61,INVALID,True,$496.23,WRONG_CHECK_9,False
2,14,14,$494.33,$496.23,WRONG_CHECK_9,$496.23,WRONG_CHECK_9,False,$493.86,WRONG_CHECK_5,True
3,1,1,$442.33,$442.33,CORRECT,$477.53,WRONG_CHECK_9,True,$442.33,CORRECT,False
3,2,2,$442.33,$442.33,CORRECT,$442.33,CORRECT,False,$442.33,CORRECT,False
3,3,3,$442.33,$442.33,CORRECT,$442.33,CORRECT,False,$442.33,CORRECT,False
3,4,4,$442.33,$442.33,CORRECT,$442.33,CORRECT,False,$442.33,CORRECT,False
3,5,5,$442.33,$442.33,CORRECT,$442.33,CORRECT,False,$442.33,CORRECT,False
3,6,6,$442.33,$442.33,CORRECT,$442.33,CORRECT,False,$442.33,CORRECT,False
3,7,7,$442.33,$442.33,CORRECT,$442.33,CORRECT,False,$442.33,CORRECT,False
3,8,8,$442.33,$442.33,CORRECT,$442.33,CORRECT,False,$442.33,CORRECT,False
3,9,9,$442.33,$442.33,CORRECT,$477.536,INVALID,True,$442.33,CORRECT,False
3,10,10,$442.33,$442.33,CORRECT,$445.81,WRONG_CHECK_7,True,$442.33,CORRECT,False
3,11,11,$442.33,$442.33,CORRECT,$445.81,WRONG_CHECK_7,True,$442.33,CORRECT,False
3,12,12,$442.33,$442.33,CORRECT,$445.81,WRONG_CHECK_7,True,$442.33,CORRECT,False
3,13,13,$442.33,$442.33,CORRECT,$2122.18,INVALID,True,$442.33,CORRECT,False
3,14,14,$442.33,$442.33,CORRECT,$447.58,WRONG_CHECK_14,True,$471.66,WRONG_CHECK_12,True
4,1,1,$517.00,$465.62,WRONG_CHECK_8,$465.62,WRONG_CHECK_8,False,$465.62,WRONG_CHECK_8,False
4,2,2,$517.00,$465.62,WRONG_CHECK_8,$465.62,WRONG_CHECK_8,False,$465.62,WRONG_CHECK_8,False
4,3,3,$517.00,$465.62,WRONG_CHECK_8,$465.62,WRONG_CHECK_8,False,$465.62,WRONG_CHECK_8,False
4,4,4,$517.00,$465.62,WRONG_CHECK_8,$465.62,WRONG_CHECK_8,False,$465.62,WRONG_CHECK_8,False
4,5,5,$517.00,$465.62,WRONG_CHECK_8,$468.99,WRONG_CHECK_9,True,$465.62,WRONG_CHECK_8,False
4,6,6,$517.00,$465.62,WRONG_CHECK_8,$484.27,WRONG_CHECK_14,True,$465.62,WRONG_CHECK_8,False
4,7,7,$517.00,$465.62,WRONG_CHECK_8,$468.99,WRONG_CHECK_9,True,$465.62,WRONG_CHECK_8,False
4,8,8,$517.00,$465.62,WRONG_CHECK_8,$465.62,WRONG_CHECK_8,False,$465.62,WRONG_CHECK_8,False
4,9,9,$517.00,$465.62,WRONG_CHECK_8,$467.12,INVALID,True,$465.62,WRONG_CHECK_8,False
4,10,10,$517.00,$465.62,WRONG_CHECK_8,$2.30,INVALID,True,$465.62,WRONG_CHECK_8,False
4,11,11,$517.00,$465.62,WRONG_CHECK_8,$449.13,INVALID,True,$465.62,WRONG_CHECK_8,False
4,12,12,$517.00,$465.62,WRONG_CHECK_8,$465.62,WRONG_CHECK_8,False,$465.62,WRONG_CHECK_8,False
4,13,13,$517.00,$465.62,WRONG_CHECK_8,$494.63,WRONG_CHECK_11,True,$465.62,WRONG_CHECK_8,False
4,14,14,$517.00,$465.62,WRONG_CHECK_8,$465.62,WRONG_CHECK_8,False,$465.62,WRONG_CHECK_8,False
5,1,1,$474.37,$488.61,WRONG_CHECK_5,$488.61,WRONG_CHECK_5,False,$488.61,WRONG_CHECK_5,False
5,2,2,$474.37,$488.61,WRONG_CHECK_5,$488.61,WRONG_CHECK_5,False,$488.61,WRONG_CHECK_5,False
5,3,3,$474.37,$488.61,WRONG_CHECK_5,$488.61,WRONG_CHECK_5,False,$488.61,WRONG_CHECK_5,False
5,4,4,$474.37,$488.61,WRONG_CHECK_5,$488.61,WRONG_CHECK_5,False,$488.61,WRONG_CHECK_5,False
5,5,5,$474.37,$488.61,WRONG_CHECK_5,$488.61,WRONG_CHECK_5,False,$488.61,WRONG_CHECK_5,False
5,6,6,$474.37,$488.61,WRONG_CHECK_5,$488.61,WRONG_CHECK_5,False,$488.61,WRONG_CHECK_5,False
5,7,7,$474.37,$488.61,WRONG_CHECK_5,$474.37,CORRECT,True,$488.61,WRONG_CHECK_5,False
5,8,8,$474.37,$488.61,WRONG_CHECK_5,$488.61,WRONG_CHECK_5,False,$488.61,WRONG_CHECK_5,False
5,9,9,$474.37,$488.61,WRONG_CHECK_5,$503.278,INVALID,True,$488.61,WRONG_CHECK_5,False
5,10,10,$474.37,$488.61,WRONG_CHECK_5,$507.381,INVALID,True,$488.61,WRONG_CHECK_5,False
5,11,11,$474.37,$488.61,WRONG_CHECK_5,$488.61,WRONG_CHECK_5,False,$488.61,WRONG_CHECK_5,False
5,12,12,$474.37,$488.61,WRONG_CHECK_5,$463.23,INVALID,True,$488.61,WRONG_CHECK_5,False
5,13,13,$474.37,$488.61,WRONG_CHECK_5,$503.27,WRONG_CHECK_9,True,$488.61,WRONG_CHECK_5,False
5,14,14,$474.37,$488.61,WRONG_CHECK_5,$507.38,WRONG_CHECK_10,True,$488.61,WRONG_CHECK_5,False
6,1,1,$572.50,$569.38,WRONG_CHECK_11,$569.38,WRONG_CHECK_11,False,$569.38,WRONG_CHECK_11,False
6,2,2,$572.50,$569.38,WRONG_CHECK_11,$569.38,WRONG_CHECK_11,False,$569.38,WRONG_CHECK_11,False
6,3,3,$572.50,$569.38,WRONG_CHECK_11,$551.47,WRONG_CHECK_14,True,$551.47,WRONG_CHECK_14,True
6,4,4,$572.50,$569.38,WRONG_CHECK_11,$551.47,WRONG_CHECK_14,True,$551.47,WRONG_CHECK_14,True
6,5,5,$572.50,$569.38,WRONG_CHECK_11,$569.38,WRONG_CHECK_11,False,$569.38,WRONG_CHECK_11,False
6,6,6,$572.50,$569.38,WRONG_CHECK_11,$569.38,WRONG_CHECK_11,False,$551.47,WRONG_CHECK_14,True
6,7,7,$572.50,$569.38,WRONG_CHECK_11,$551.47,WRONG_CHECK_14,True,$551.47,WRONG_CHECK_14,True
6,8,8,$572.50,$569.38,WRONG_CHECK_11,$588.33,WRONG_CHECK_10,True,$569.38,WRONG_CHECK_11,False
6,9,9,$572.50,$569.38,WRONG_CHECK_11,$551.47,WRONG_CHECK_14,True,$551.47,WRONG_CHECK_14,True
6,10,10,$572.50,$569.38,WRONG_CHECK_11,$551.47,WRONG_CHECK_14,True,$569.38,WRONG_CHECK_11,False
6,11,11,$572.50,$569.38,WRONG_CHECK_11,$551.47,WRONG_CHECK_14,True,$569.38,WRONG_CHECK_11,False
6,12,12,$572.50,$569.38,WRONG_CHECK_11,$554.913,INVALID,True,$569.38,WRONG_CHECK_11,False
6,13,13,$572.50,$569.38,WRONG_CHECK_11,$514.79,WRONG_CHECK_4,True,$569.38,WRONG_CHECK_11,False
6,14,14,$572.50,$569.38,WRONG_CHECK_11,$514.79,WRONG_CHECK_4,True,$569.38,WRONG_CHECK_11,False
7,1,1,$479.00,$469.58,WRONG_CHECK_9,$469.58,WRONG_CHECK_9,False,$469.58,WRONG_CHECK_9,False
7,2,2,$479.00,$469.58,WRONG_CHECK_9,$469.58,WRONG_CHECK_9,False,$469.58,WRONG_CHECK_9,False
7,3,3,$479.00,$469.58,WRONG_CHECK_9,$469.58,WRONG_CHECK_9,False,$469.58,WRONG_CHECK_9,False
7,4,4,$479.00,$469.58,WRONG_CHECK_9,$469.58,WRONG_CHECK_9,False,$469.58,WRONG_CHECK_9,False
7,5,5,$479.00,$469.58,WRONG_CHECK_9,$469.58,WRONG_CHECK_9,False,$469.58,WRONG_CHECK_9,False
7,6,6,$479.00,$469.58,WRONG_CHECK_9,$469.58,WRONG_CHECK_9,False,$469.58,WRONG_CHECK_9,False
7,7,7,$479.00,$469.58,WRONG_CHECK_9,$469.58,WRONG_CHECK_9,False,$469.58,WRONG_CHECK_9,False
7,8,8,$479.00,$469.58,WRONG_CHECK_9,$469.62,WRONG_CHECK_13,True,$469.58,WRONG_CHECK_9,False
7,9,9,$479.00,$469.58,WRONG_CHECK_9,$469.589,INVALID,True,$469.58,WRONG_CHECK_9,False
7,10,10,$479.00,$469.58,WRONG_CHECK_9,$469.58,WRONG_CHECK_9,False,$469.58,WRONG_CHECK_9,False
7,11,11,$479.00,$469.58,WRONG_CHECK_9,$1234.56,INVALID,True,$469.58,WRONG_CHECK_9,False
7,12,12,$479.00,$469.58,WRONG_CHECK_9,$469.58,WRONG_CHECK_9,False,$469.58,WRONG_CHECK_9,False
7,13,13,$479.00,$469.58,WRONG_CHECK_9,$466.05,WRONG_CHECK_5,True,$469.58,WRONG_CHECK_9,False
7,14,14,$479.00,$469.58,WRONG_CHECK_9,$469.58,WRONG_CHECK_9,False,$469.58,WRONG_CHECK_9,False
8,1,1,$466.82,$399.51,WRONG_CHECK_5,$399.51,WRONG_CHECK_5,False,$399.51,WRONG_CHECK_5,False
8,2,2,$466.82,$399.51,WRONG_CHECK_5,$399.51,WRONG_CHECK_5,False,$399.51,WRONG_CHECK_5,False
8,3,3,$466.82,$399.51,WRONG_CHECK_5,$399.51,WRONG_CHECK_5,False,$399.51,WRONG_CHECK_5,False
8,4,4,$466.82,$399.51,WRONG_CHECK_5,$409.88,WRONG_CHECK_8,True,$399.51,WRONG_CHECK_5,False
8,5,5,$466.82,$399.51,WRONG_CHECK_5,$398.44,WRONG_CHECK_7,True,$399.51,WRONG_CHECK_5,False
8,6,6,$466.82,$399.51,WRONG_CHECK_5,$388.04,WRONG_CHECK_6,True,$399.51,WRONG_CHECK_5,False
8,7,7,$466.82,$399.51,WRONG_CHECK_5,$308.44,INVALID,True,$399.51,WRONG_CHECK_5,False
8,8,8,$466.82,$399.51,WRONG_CHECK_5,$436.83,WRONG_CHECK_10,True,$399.51,WRONG_CHECK_5,False
8,9,9,$466.82,$399.51,WRONG_CHECK_5,$237.003,INVALID,True,$399.51,WRONG_CHECK_5,False
8,10,10,$466.82,$399.51,WRONG_CHECK_5,$33.00,INVALID,True,$399.51,WRONG_CHECK_5,False
8,11,11,$466.82,$399.51,WRONG_CHECK_5,$34.00,INVALID,True,$399.51,WRONG_CHECK_5,False
8,12,12,$466.82,$399.51,WRONG_CHECK_5,$427.00,WRONG_CHECK_9,True,$399.51,WRONG_CHECK_5,False
8,13,13,$466.82,$399.51,WRONG_CHECK_5,$447.39,WRONG_CHECK_12,True,$399.51,WRONG_CHECK_5,False
8,14,14,$466.82,$399.51,WRONG_CHECK_5,$436.83,WRONG_CHECK_10,True,$399.51,WRONG_CHECK_5,False
