check_index,distance_from_drop,baseline_output,baseline_correct,spliced_output,spliced_correct,answer_changed
1,1,$534.28,False,$543.04,False,True
2,2,$534.28,False,$543.04,False,True
3,3,$534.28,False,$534.28,False,False
4,4,$534.28,False,$543.04,False,True
5,5,$534.28,False,$543.04,False,True
6,6,$534.28,False,$534.28,False,False
7,7,$534.28,False,$533.82,False,True
8,8,$534.28,False,$534.28,False,False
9,9,$534.28,False,$5334.03,False,True
10,10,$534.28,False,$534.284,False,True
11,11,$534.28,False,$543.044,False,True
12,12,$534.28,False,$5328.45,False,True
13,13,$534.28,False,$543.04,False,True
14,14,$534.28,False,$543.04,False,True
