distance_from_drop,n_seeds,stale_pct_correct,stale_pct_wrong_check,stale_pct_invalid,stale_pct_changed,control_pct_correct,control_pct_wrong_check,control_pct_invalid,control_pct_changed
1,8,0.0,100.0,0.0,25.0,12.5,87.5,0.0,0.0
2,8,12.5,87.5,0.0,25.0,12.5,87.5,0.0,0.0
3,8,12.5,87.5,0.0,25.0,12.5,87.5,0.0,12.5
4,8,12.5,87.5,0.0,37.5,12.5,87.5,0.0,12.5
5,8,12.5,87.5,0.0,50.0,12.5,87.5,0.0,0.0
6,8,12.5,87.5,0.0,37.5,12.5,87.5,0.0,12.5
7,8,37.5,50.0,12.5,75.0,12.5,87.5,0.0,12.5
8,8,12.5,87.5,0.0,50.0,12.5,87.5,0.0,0.0
9,8,0.0,25.0,75.0,100.0,12.5,87.5,0.0,12.5
10,8,0.0,37.5,62.5,87.5,12.5,87.5,0.0,0.0
11,8,0.0,37.5,62.5,87.5,12.5,87.5,0.0,0.0
12,8,0.0,62.5,37.5,75.0,12.5,87.5,0.0,0.0
13,8,0.0,75.0,25.0,100.0,12.5,87.5,0.0,0.0
14,8,0.0,100.0,0.0,62.5,0.0,100.0,0.0,25.0
