workload,repetition,request_id,sequence_index,scope,change_type,prompt_tokens,cached_tokens_on,cache_hit_fraction_on,ttft_off_ms,ttft_on_ms,ttft_delta_ms,ttft_reduction_fraction,ttft_speedup,quality_passed_off,quality_passed_on,quality_score_off,quality_score_on,quality_score_delta
rag,1,rag-00,0,cold,cold_start,167,0,0.0,49.52432494610548,49.4231004267931,0.10122451931238174,0.002043935367570152,1.0020481215957369,True,True,1.0,1.0,0.0
rag,1,rag-01,1,reuse_eligible,document_replacement,176,80,0.45454545454545453,52.74874810129404,37.259140983223915,15.489607118070126,0.2936488101731865,1.4157263616207465,True,True,1.0,1.0,0.0
rag,1,rag-02,2,reuse_eligible,document_reorder,176,32,0.18181818181818182,51.350561901926994,49.35512971132994,1.9954321905970573,0.03885901374181801,1.04043008705008,True,True,1.0,1.0,0.0
rag,1,rag-03,3,reuse_eligible,query_replacement,177,160,0.903954802259887,50.998092629015446,25.396334007382393,25.601758621633053,0.5020140421304089,2.0080887506909835,True,True,1.0,1.0,0.0
rag,2,rag-00,0,cold,cold_start,167,0,0.0,49.37783721834421,49.42359309643507,-0.04575587809085846,-0.0009266480807681028,0.9990742098009431,True,True,1.0,1.0,0.0
rag,2,rag-01,1,reuse_eligible,document_replacement,176,80,0.45454545454545453,52.55702789872885,37.54646424204111,15.010563656687737,0.2856052607390835,1.3997863436600315,True,True,1.0,1.0,0.0
rag,2,rag-02,2,reuse_eligible,document_reorder,176,32,0.18181818181818182,52.66614817082882,49.47533179074526,3.190816380083561,0.060585717598594345,1.0644930769454775,True,True,1.0,1.0,0.0
rag,2,rag-03,3,reuse_eligible,query_replacement,177,160,0.903954802259887,51.276241429150105,25.89105349034071,25.385187938809395,0.49506725203103774,1.9804617625265792,True,True,1.0,1.0,0.0
rag,3,rag-00,0,cold,cold_start,167,0,0.0,49.56003651022911,49.71316270530224,-0.15312619507312775,-0.0030897111030481735,0.996919805807149,True,True,1.0,1.0,0.0
rag,3,rag-01,1,reuse_eligible,document_replacement,176,80,0.45454545454545453,51.44952330738306,37.02399507164955,14.425528235733509,0.2803821553321065,1.3896264627255095,True,True,1.0,1.0,0.0
rag,3,rag-02,2,reuse_eligible,document_reorder,176,32,0.18181818181818182,51.70656181871891,49.78854302316904,1.9180187955498695,0.03709430153709243,1.038523296306488,True,True,1.0,1.0,0.0
rag,3,rag-03,3,reuse_eligible,query_replacement,177,160,0.903954802259887,51.689052022993565,25.63890442252159,26.050147600471973,0.503978049140536,2.0160398108738664,True,True,1.0,1.0,0.0
periodic_agent,1,periodic-00,0,cold,cold_start,230,0,0.0,60.07843650877476,60.32751314342022,-0.24907663464546204,-0.004145857467663679,0.9958712597011364,False,False,0.25,0.25,0.0
periodic_agent,1,periodic-01,1,reuse_eligible,sliding_window,230,80,0.34782608695652173,61.637500301003456,51.252528093755245,10.384972207248211,0.16848464257203408,1.2026236088930322,False,False,0.5,0.5,0.0
periodic_agent,1,periodic-02,2,reuse_eligible,sliding_window,230,80,0.34782608695652173,62.14689649641514,50.79242028295994,11.3544762134552,0.18270383323341285,1.2235466660222225,False,False,0.75,0.75,0.0
periodic_agent,1,periodic-03,3,reuse_eligible,sliding_window,230,80,0.34782608695652173,61.94774806499481,50.85354018956423,11.094207875430584,0.1790897687481824,1.218159991105344,False,False,0.75,0.75,0.0
periodic_agent,1,periodic-04,4,reuse_eligible,sliding_window,230,80,0.34782608695652173,62.02309858053923,51.110939122736454,10.912159457802773,0.17593702519768406,1.2134994904241263,False,False,0.75,0.75,0.0
periodic_agent,1,periodic-05,5,reuse_eligible,sliding_window,230,80,0.34782608695652173,61.65125872939825,52.02214512974024,9.629113599658012,0.15618681269627335,1.1850964349056263,False,False,0.75,0.75,0.0
periodic_agent,2,periodic-00,0,cold,cold_start,230,0,0.0,59.82381943613291,60.504806227982044,-0.6809867918491364,-0.011383204854985037,0.9887449140935486,False,False,0.25,0.25,0.0
periodic_agent,2,periodic-01,1,reuse_eligible,sliding_window,230,80,0.34782608695652173,61.04571279138327,49.81039185076952,11.235320940613747,0.1840476657060123,1.2255617858673837,False,False,0.5,0.5,0.0
periodic_agent,2,periodic-02,2,reuse_eligible,sliding_window,230,80,0.34782608695652173,61.261472292244434,51.53920501470566,9.722267277538776,0.1587011691648422,1.1886382856461353,False,False,0.75,0.75,0.0
periodic_agent,2,periodic-03,3,reuse_eligible,sliding_window,230,80,0.34782608695652173,61.76017876714468,51.13984551280737,10.62033325433731,0.17196085675819223,1.2076723765557245,False,False,0.75,0.75,0.0
periodic_agent,2,periodic-04,4,reuse_eligible,sliding_window,230,80,0.34782608695652173,62.64439504593611,50.984607078135014,11.659787967801094,0.1861265953522444,1.2286923178584512,False,False,0.75,0.75,0.0
periodic_agent,2,periodic-05,5,reuse_eligible,sliding_window,230,80,0.34782608695652173,61.258042231202126,51.19849555194378,10.059546679258347,0.16421593496722067,1.1964812944367158,False,False,0.75,0.75,0.0
periodic_agent,3,periodic-00,0,cold,cold_start,230,0,0.0,60.10132655501366,60.31069811433554,-0.20937155932188034,-0.003483642896471385,0.9965284507414429,False,False,0.25,0.25,0.0
periodic_agent,3,periodic-01,1,reuse_eligible,sliding_window,230,80,0.34782608695652173,59.97036583721638,49.46532566100359,10.505040176212788,0.1751705201320212,1.21237179854442,False,False,0.5,0.5,0.0
periodic_agent,3,periodic-02,2,reuse_eligible,sliding_window,230,80,0.34782608695652173,61.95699889212847,51.02473869919777,10.932260192930698,0.176449156486171,1.2142541142126924,False,False,0.75,0.75,0.0
periodic_agent,3,periodic-03,3,reuse_eligible,sliding_window,230,80,0.34782608695652173,61.7891289293766,51.692395471036434,10.096733458340168,0.16340630841196155,1.1953233810570343,False,False,0.75,0.75,0.0
periodic_agent,3,periodic-04,4,reuse_eligible,sliding_window,230,80,0.34782608695652173,61.59073021262884,51.214116625487804,10.376613587141037,0.16847687227149272,1.2026123707848335,False,False,0.75,0.75,0.0
periodic_agent,3,periodic-05,5,reuse_eligible,sliding_window,230,80,0.34782608695652173,61.546419747173786,50.842479802668095,10.703939944505692,0.17391653305710308,1.2105314293490455,False,False,0.75,0.75,0.0
chat,1,chat-00,0,cold,cold_start,53,0,0.0,29.113968834280968,29.17568851262331,-0.06171967834234238,-0.002119933516919514,0.9978845510941194,True,True,1.0,1.0,0.0
chat,1,chat-01,1,reuse_eligible,append_turn,97,48,0.4948453608247423,36.33799310773611,29.59453873336315,6.743454374372959,0.18557586145111915,1.2278614454892918,False,False,0.75,0.75,0.0
chat,1,chat-02,2,reuse_eligible,append_turn,149,96,0.6442953020134228,55.79668562859297,31.54944349080324,24.247242137789726,0.43456420152246905,1.7685473800784433,True,True,1.0,1.0,0.0
chat,1,chat-03,3,reuse_eligible,edit_history,149,32,0.21476510067114093,50.12241844087839,38.120598532259464,12.001819908618927,0.23945013592621442,1.3148381812122498,False,False,0.8,0.8,0.0
chat,2,chat-00,0,cold,cold_start,53,0,0.0,29.22269981354475,29.14413996040821,0.07855985313653946,0.002688316056962228,1.0026955625811316,True,True,1.0,1.0,0.0
chat,2,chat-01,1,reuse_eligible,append_turn,97,48,0.4948453608247423,36.86461225152016,29.47435900568962,7.390253245830536,0.20047012010890716,1.2507349945898383,False,False,0.75,0.75,0.0
chat,2,chat-02,2,reuse_eligible,append_turn,149,96,0.6442953020134228,56.43336474895477,31.54734428972006,24.886020459234715,0.44098062502458957,1.7888467641107912,True,True,1.0,1.0,0.0
chat,2,chat-03,3,reuse_eligible,edit_history,149,32,0.21476510067114093,49.83592964708805,37.84858901053667,11.98734063655138,0.24053610961889238,1.3167182965054318,False,False,0.8,0.8,0.0
chat,3,chat-00,0,cold,cold_start,53,0,0.0,29.040660709142685,29.00958899408579,0.03107171505689621,0.001069938296793437,1.0010710842908954,True,True,1.0,1.0,0.0
chat,3,chat-01,1,reuse_eligible,append_turn,97,48,0.4948453608247423,37.03016974031925,29.235119000077248,7.795050740242004,0.2105054012689168,1.2666331113692886,False,False,0.75,0.75,0.0
chat,3,chat-02,2,reuse_eligible,append_turn,149,96,0.6442953020134228,57.33184237033129,30.87979555130005,26.45204681903124,0.46138490802660714,1.856613405198455,True,True,1.0,1.0,0.0
chat,3,chat-03,3,reuse_eligible,edit_history,149,32,0.21476510067114093,49.898299388587475,37.17178013175726,12.726519256830215,0.2550491582432761,1.3423704544608954,False,False,0.8,0.8,0.0
