workload,request_id,sequence_index,scope,change_type,prompt_tokens,mean_cached_tokens_on,mean_cache_hit_fraction_on,ttft_off_mean_ms,ttft_on_mean_ms,ttft_reduction_fraction,ttft_speedup,mean_quality_score_off,mean_quality_score_on
rag,rag-00,0,cold,cold_start,167,0.0,0.0,49.487399558226265,49.5199520761768,-0.0006577940696244087,0.9993426383389779,1.0,1.0
rag,rag-01,1,reuse_eligible,document_replacement,176,80.0,0.45454545454545453,52.25176643580198,37.27653343230486,0.28659764109403124,1.401733520384682,1.0,1.0
rag,rag-02,2,reuse_eligible,document_reorder,176,32.0,0.1818181818181818,51.90775729715824,49.53966817508141,0.04562110261324035,1.0478018769465232,1.0,1.0
rag,rag-03,3,reuse_eligible,query_replacement,177,160.0,0.903954802259887,51.32112869371971,25.64209730674823,0.5003598330859369,2.0014403689285403,1.0,1.0
periodic_agent,periodic-00,0,cold,cold_start,230,0.0,0.0,60.00119416664044,60.38100582857927,-0.006330068379705671,0.9937097493371159,0.25,0.25
periodic_agent,periodic-01,1,reuse_eligible,sliding_window,230,80.0,0.34782608695652173,60.8845263098677,50.17608186850945,0.1758812146596714,1.2134173104512347,0.5,0.5
periodic_agent,periodic-02,2,reuse_eligible,sliding_window,230,80.0,0.34782608695652173,61.788455893596016,51.11878799895445,0.1726806041733017,1.2087230216580995,0.75,0.75
periodic_agent,periodic-03,3,reuse_eligible,sliding_window,230,80.0,0.34782608695652173,61.83235192050537,51.22859372446934,0.1714920727852747,1.2069890548444069,0.75,0.75
periodic_agent,periodic-04,4,reuse_eligible,sliding_window,230,80.0,0.34782608695652173,62.086074613034725,51.103220942119755,0.17689721470342665,1.214915096708959,0.75,0.75
periodic_agent,periodic-05,5,reuse_eligible,sliding_window,230,80.0,0.34782608695652173,61.48524023592472,51.354373494784035,0.16476908445453878,1.19727368969207,0.75,0.75
chat,chat-00,0,cold,cold_start,53,0.0,0.0,29.1257764523228,29.109805822372437,0.0005483331912715267,1.0005486340255176,1.0,1.0
chat,chat-01,1,reuse_eligible,append_turn,97,48.0,0.4948453608247423,36.74425836652517,29.434672246376675,0.19893138261861593,1.2483325127239455,0.75,0.75
chat,chat-02,2,reuse_eligible,append_turn,149,96.0,0.6442953020134228,56.52063091595968,31.32552777727445,0.44576825718997615,1.8042993981720996,1.0,1.0
chat,chat-03,3,reuse_eligible,edit_history,149,32.0,0.21476510067114093,49.952215825517975,37.713655891517796,0.24500534624428288,1.324512690289269,0.8000000000000002,0.8000000000000002
