workload,apc,repetition,request_count,mean_ttft_all_ms,mean_ttft_warm_ms,mean_cache_hit_fraction_warm,quality_pass_rate,mean_quality_score,length_finish_rate,result_file,ledger_file,source_root
rag,off,1,4,51.15543189458549,51.69913421074549,0.0,1.0,1.0,0.0,rag-apc-off-rep-1.json,baseline-269138-rag-apc-off-rep-1.jsonl,baseline-269138
rag,off,2,4,51.469313679262996,52.16647249956926,0.0,1.0,1.0,0.0,rag-apc-off-rep-2.json,baseline-269138-rag-apc-off-rep-2.jsonl,baseline-269138
rag,off,3,4,51.10129341483116,51.61504571636518,0.0,1.0,1.0,0.0,rag-apc-off-rep-3.json,baseline-269138-rag-apc-off-rep-3.jsonl,baseline-269138
rag,on,1,4,40.358426282182336,37.33686823397875,0.5134394795411744,1.0,1.0,0.0,rag-apc-on-rep-1.json,baseline-269138-rag-apc-on-rep-1.jsonl,baseline-269138
rag,on,2,4,40.58411065489054,37.637616507709026,0.5134394795411744,1.0,1.0,0.0,rag-apc-on-rep-2.json,baseline-269138-rag-apc-on-rep-2.jsonl,baseline-269138
rag,on,3,4,40.541151305660605,37.48381417244673,0.5134394795411744,1.0,1.0,0.0,rag-apc-on-rep-3.json,baseline-269138-rag-apc-on-rep-3.jsonl,baseline-269138
periodic_agent,off,1,6,61.58082311352094,61.88130043447018,0.0,0.0,0.625,0.0,periodic_agent-apc-off-rep-1.json,baseline-269138-periodic_agent-apc-off-rep-1.jsonl,baseline-269138
periodic_agent,off,2,6,61.29893676067392,61.59396022558212,0.0,0.0,0.625,0.0,periodic_agent-apc-off-rep-2.json,baseline-269138-periodic_agent-apc-off-rep-2.jsonl,baseline-269138
periodic_agent,off,3,6,61.159161695589624,61.370728723704815,0.0,0.0,0.625,0.0,periodic_agent-apc-off-rep-3.json,baseline-269138-periodic_agent-apc-off-rep-3.jsonl,baseline-269138
periodic_agent,on,1,6,52.726514327029385,51.20631456375122,0.34782608695652173,0.0,0.625,0.0,periodic_agent-apc-on-rep-1.json,baseline-269138-periodic_agent-apc-on-rep-1.jsonl,baseline-269138
periodic_agent,on,2,6,52.529558539390564,50.93450900167227,0.34782608695652173,0.0,0.625,0.0,periodic_agent-apc-on-rep-2.json,baseline-269138-periodic_agent-apc-on-rep-2.jsonl,baseline-269138
periodic_agent,on,3,6,52.4249590622882,50.84781125187874,0.34782608695652173,0.0,0.625,0.0,periodic_agent-apc-on-rep-3.json,baseline-269138-periodic_agent-apc-on-rep-3.jsonl,baseline-269138
chat,off,1,4,42.84276650287211,47.41903239240249,0.0,0.5,0.8875,0.0,chat-apc-off-rep-1.json,baseline-268672-chat-apc-off-rep-1.jsonl,baseline-268672
chat,off,2,4,43.08915161527693,47.711302215854325,0.0,0.5,0.8875,0.0,chat-apc-off-rep-2.json,baseline-268672-chat-apc-off-rep-2.jsonl,baseline-268672
chat,off,3,4,43.325243052095175,48.086770499746,0.0,0.5,0.8875,0.0,chat-apc-off-rep-3.json,baseline-268672-chat-apc-off-rep-3.jsonl,baseline-268672
chat,on,1,4,32.11006731726229,33.08819358547529,0.45130192116976864,0.5,0.8875,0.0,chat-apc-on-rep-1.json,baseline-268672-chat-apc-on-rep-1.jsonl,baseline-268672
chat,on,2,4,32.00360806658864,32.95676410198212,0.45130192116976864,0.5,0.8875,0.0,chat-apc-on-rep-2.json,baseline-268672-chat-apc-on-rep-2.jsonl,baseline-268672
chat,on,3,4,31.574070919305086,32.42889822771152,0.45130192116976864,0.5,0.8875,0.0,chat-apc-on-rep-3.json,baseline-268672-chat-apc-on-rep-3.jsonl,baseline-268672
