workload,apc,repetition,request_id,sequence_index,scope,change_type,prompt_tokens,cached_tokens,cache_hit_fraction,ttft_ms,client_wall_ms,generation_time_ms,mean_itl_ms,tokens_per_second,quality_passed,quality_score,finish_reason,result_file,ledger_file
chat,off,1,chat-00,0,cold,cold_start,53,0,0.0,29.113968834280968,476.82361491024494,319.8962118476629,19.993513240478933,48.70918082327304,True,1.0,stop,chat-apc-off-rep-1.json,baseline-268672-chat-apc-off-rep-1.jsonl
chat,off,1,chat-01,1,reuse_eligible,append_turn,97,0,0.0,36.33799310773611,543.3643627911806,501.66543293744326,20.06661731749773,48.32682979572071,False,0.75,stop,chat-apc-off-rep-1.json,baseline-268672-chat-apc-off-rep-1.jsonl
chat,off,1,chat-02,2,reuse_eligible,append_turn,149,0,0.0,55.79668562859297,743.9176505431533,682.5627088546753,20.075373789843393,47.402390030527506,True,1.0,stop,chat-apc-off-rep-1.json,baseline-268672-chat-apc-off-rep-1.jsonl
chat,off,1,chat-03,3,reuse_eligible,edit_history,149,0,0.0,50.12241844087839,760.8415801078081,704.6646550297737,20.13327585799353,47.695570400358434,False,0.8,stop,chat-apc-off-rep-1.json,baseline-268672-chat-apc-off-rep-1.jsonl
chat,off,2,chat-00,0,cold,cold_start,53,0,0.0,29.22269981354475,473.94400741904974,319.7364201769233,19.983526261057705,48.716308089223645,True,1.0,stop,chat-apc-off-rep-2.json,baseline-268672-chat-apc-off-rep-2.jsonl
chat,off,2,chat-01,1,reuse_eligible,append_turn,97,0,0.0,36.86461225152016,548.9713586866856,506.1476705595851,20.245906822383404,47.881053197178744,False,0.75,stop,chat-apc-off-rep-2.json,baseline-268672-chat-apc-off-rep-2.jsonl
chat,off,2,chat-02,2,reuse_eligible,append_turn,149,0,0.0,56.43336474895477,745.6509126350284,683.3131741732359,20.09744629921282,47.31350288031754,True,1.0,stop,chat-apc-off-rep-2.json,baseline-268672-chat-apc-off-rep-2.jsonl
chat,off,2,chat-03,3,reuse_eligible,edit_history,149,0,0.0,49.83592964708805,761.935125105083,705.7657800614834,20.164736573185237,47.6441484150226,False,0.8,stop,chat-apc-off-rep-2.json,baseline-268672-chat-apc-off-rep-2.jsonl
chat,off,3,chat-00,0,cold,cold_start,53,0,0.0,29.040660709142685,575.3861628472805,320.14023791998625,20.00876486999914,48.685366429668285,True,1.0,stop,chat-apc-off-rep-3.json,baseline-268672-chat-apc-off-rep-3.jsonl
chat,off,3,chat-01,1,reuse_eligible,append_turn,97,0,0.0,37.03016974031925,545.6321435049176,503.37349716573954,20.13493988662958,48.112182785243235,False,0.75,stop,chat-apc-off-rep-3.json,baseline-268672-chat-apc-off-rep-3.jsonl
chat,off,3,chat-02,2,reuse_eligible,append_turn,149,0,0.0,57.33184237033129,746.9650385901332,684.5675595104694,20.134339985602043,47.17620732847466,True,1.0,stop,chat-apc-off-rep-3.json,baseline-268672-chat-apc-off-rep-3.jsonl
chat,off,3,chat-03,3,reuse_eligible,edit_history,149,0,0.0,49.898299388587475,760.5019873008132,704.789150506258,20.136832871607375,47.701866521055926,False,0.8,stop,chat-apc-off-rep-3.json,baseline-268672-chat-apc-off-rep-3.jsonl
chat,on,1,chat-00,0,cold,cold_start,53,0,0.0,29.17568851262331,474.7533742338419,319.78934817016125,19.986834260635078,48.71548210559932,True,1.0,stop,chat-apc-on-rep-1.json,baseline-268672-chat-apc-on-rep-1.jsonl
chat,on,1,chat-01,1,reuse_eligible,append_turn,97,48,0.4948453608247423,29.59453873336315,539.7445475682616,504.5134434476495,20.18053773790598,48.67929495048893,False,0.75,stop,chat-apc-on-rep-1.json,baseline-268672-chat-apc-on-rep-1.jsonl
chat,on,1,chat-02,2,reuse_eligible,append_turn,149,96,0.6442953020134228,31.54944349080324,741.650260053575,704.5456105843186,20.12987458812339,48.90672719603145,True,1.0,stop,chat-apc-on-rep-1.json,baseline-268672-chat-apc-on-rep-1.jsonl
chat,on,1,chat-03,3,reuse_eligible,edit_history,149,32,0.21476510067114093,38.120598532259464,751.051178202033,706.874025054276,20.196400715836457,48.322496378147875,False,0.8,stop,chat-apc-on-rep-1.json,baseline-268672-chat-apc-on-rep-1.jsonl
chat,on,2,chat-00,0,cold,cold_start,53,0,0.0,29.14413996040821,547.3532387986779,320.0138872489333,20.000867953058332,48.688555539945995,True,1.0,stop,chat-apc-on-rep-2.json,baseline-268672-chat-apc-on-rep-2.jsonl
chat,on,2,chat-01,1,reuse_eligible,append_turn,97,48,0.4948453608247423,29.47435900568962,536.7691852152348,502.084506675601,20.08338026702404,48.912738886738744,False,0.75,stop,chat-apc-on-rep-2.json,baseline-268672-chat-apc-on-rep-2.jsonl
chat,on,2,chat-02,2,reuse_eligible,append_turn,149,96,0.6442953020134228,31.54734428972006,740.1922838762403,702.8907714411616,20.082593469747476,49.01706383277007,True,1.0,stop,chat-apc-on-rep-2.json,baseline-268672-chat-apc-on-rep-2.jsonl
chat,on,2,chat-03,3,reuse_eligible,edit_history,149,32,0.21476510067114093,37.84858901053667,748.4195027500391,704.8789067193866,20.139397334839618,48.46999768686444,False,0.8,stop,chat-apc-on-rep-2.json,baseline-268672-chat-apc-on-rep-2.jsonl
chat,on,3,chat-00,0,cold,cold_start,53,0,0.0,29.00958899408579,476.3340000063181,320.2164266258478,20.01352666411549,48.679076700005304,True,1.0,stop,chat-apc-on-rep-3.json,baseline-268672-chat-apc-on-rep-3.jsonl
chat,on,3,chat-01,1,reuse_eligible,append_turn,97,48,0.4948453608247423,29.235119000077248,539.9153549224138,505.02272974699736,20.200909189879894,48.66563974862403,False,0.75,stop,chat-apc-on-rep-3.json,baseline-268672-chat-apc-on-rep-3.jsonl
chat,on,3,chat-02,2,reuse_eligible,append_turn,149,96,0.6442953020134228,30.87979555130005,739.574714563787,702.8145929798484,20.08041694228138,49.06675117424814,True,1.0,stop,chat-apc-on-rep-3.json,baseline-268672-chat-apc-on-rep-3.jsonl
chat,on,3,chat-03,3,reuse_eligible,edit_history,149,32,0.21476510067114093,37.17178013175726,748.3859015628695,705.2283873781562,20.149382496518747,48.491368369093585,False,0.8,stop,chat-apc-on-rep-3.json,baseline-268672-chat-apc-on-rep-3.jsonl
periodic_agent,off,1,periodic-00,0,cold,cold_start,230,0,0.0,59.75742917507887,1161.578480154276,941.2657059729099,20.026929914317233,47.950939708205446,False,0.25,length,periodic_agent-apc-off-rep-1.json,baseline-268672-periodic_agent-apc-off-rep-1.jsonl
periodic_agent,off,1,periodic-01,1,reuse_eligible,sliding_window,230,0,0.0,59.960938058793545,1008.3156945183873,941.6491752490401,20.03508883508596,47.92283879949976,False,0.25,length,periodic_agent-apc-off-rep-1.json,baseline-268672-periodic_agent-apc-off-rep-1.jsonl
periodic_agent,off,1,periodic-02,2,reuse_eligible,sliding_window,230,0,0.0,60.62361504882574,1010.2731874212623,942.7065206691623,20.05758554615239,47.84068402934091,False,0.25,length,periodic_agent-apc-off-rep-1.json,baseline-268672-periodic_agent-apc-off-rep-1.jsonl
periodic_agent,off,1,periodic-03,3,reuse_eligible,sliding_window,230,0,0.0,60.28156727552414,1009.9942591041327,942.8545907139778,20.060735972637826,47.849935043914876,False,0.25,length,periodic_agent-apc-off-rep-1.json,baseline-268672-periodic_agent-apc-off-rep-1.jsonl
periodic_agent,off,1,periodic-04,4,reuse_eligible,sliding_window,230,0,0.0,60.360437259078026,1008.6804144084454,941.6030766442418,20.03410801370727,47.905936028556376,False,0.25,length,periodic_agent-apc-off-rep-1.json,baseline-268672-periodic_agent-apc-off-rep-1.jsonl
periodic_agent,off,1,periodic-05,5,reuse_eligible,sliding_window,230,0,0.0,59.8969291895628,1010.2461893111467,943.560479208827,20.075754876783552,47.834616196229405,False,0.25,length,periodic_agent-apc-off-rep-1.json,baseline-268672-periodic_agent-apc-off-rep-1.jsonl
periodic_agent,off,2,periodic-00,0,cold,cold_start,230,0,0.0,59.94357634335756,1157.6737500727177,942.2275982797146,20.047395708079033,47.89600939984463,False,0.25,length,periodic_agent-apc-off-rep-2.json,baseline-268672-periodic_agent-apc-off-rep-2.jsonl
periodic_agent,off,2,periodic-01,1,reuse_eligible,sliding_window,230,0,0.0,58.81793983280659,1006.0628587380052,940.3244769200683,20.006903764256773,48.04119932771525,False,0.25,length,periodic_agent-apc-off-rep-2.json,baseline-268672-periodic_agent-apc-off-rep-2.jsonl
periodic_agent,off,2,periodic-02,2,reuse_eligible,sliding_window,230,0,0.0,59.93270594626665,1010.5632012709975,943.0817160755396,20.065568427139137,47.85574259564978,False,0.25,length,periodic_agent-apc-off-rep-2.json,baseline-268672-periodic_agent-apc-off-rep-2.jsonl
periodic_agent,off,2,periodic-03,3,reuse_eligible,sliding_window,230,0,0.0,60.239664278924465,1009.6665052697062,942.2593601047993,20.04807149159147,47.88034584822416,False,0.25,length,periodic_agent-apc-off-rep-2.json,baseline-268672-periodic_agent-apc-off-rep-2.jsonl
periodic_agent,off,2,periodic-04,4,reuse_eligible,sliding_window,230,0,0.0,60.618242248892784,1009.1721080243587,941.7300634086132,20.036809859757728,47.88754540619855,False,0.25,length,periodic_agent-apc-off-rep-2.json,baseline-268672-periodic_agent-apc-off-rep-2.jsonl
periodic_agent,off,2,periodic-05,5,reuse_eligible,sliding_window,230,0,0.0,60.124484822154045,1010.3971930220723,943.4487158432603,20.073376932835327,47.82909703863538,False,0.25,length,periodic_agent-apc-off-rep-2.json,baseline-268672-periodic_agent-apc-off-rep-2.jsonl
periodic_agent,off,3,periodic-00,0,cold,cold_start,230,0,0.0,60.58376934379339,1162.8538565710187,940.9093521535397,20.01934791816042,47.928437020351346,False,0.25,length,periodic_agent-apc-off-rep-3.json,baseline-268672-periodic_agent-apc-off-rep-3.jsonl
periodic_agent,off,3,periodic-01,1,reuse_eligible,sliding_window,230,0,0.0,59.45792235434055,1007.7755870297551,940.2700858190656,20.00574650678863,48.013059159661196,False,0.25,length,periodic_agent-apc-off-rep-3.json,baseline-268672-periodic_agent-apc-off-rep-3.jsonl
periodic_agent,off,3,periodic-02,2,reuse_eligible,sliding_window,230,0,0.0,59.939160011708736,1009.5636500045657,942.4065686762333,20.051203588856026,47.887668522148935,False,0.25,length,periodic_agent-apc-off-rep-3.json,baseline-268672-periodic_agent-apc-off-rep-3.jsonl
periodic_agent,off,3,periodic-03,3,reuse_eligible,sliding_window,230,0,0.0,60.91494672000408,1009.4221411272883,941.9007198885083,20.040440848691667,47.86522747728336,False,0.25,length,periodic_agent-apc-off-rep-3.json,baseline-268672-periodic_agent-apc-off-rep-3.jsonl
