workload,request_id,sequence_index,scope,change_type,prompt_tokens,mean_cached_tokens_on,mean_cache_hit_fraction_on,ttft_off_mean_ms,ttft_on_mean_ms,ttft_reduction_fraction,ttft_speedup,mean_quality_score_off,mean_quality_score_on
rag,rag-00,0,cold,cold_start,167,0.0,0.0,50.6926995391647,51.001143641769886,-0.006084586250272296,0.9939522120372106,1.0,1.0
rag,rag-01,1,reuse_eligible,document_replacement,176,80.0,0.45454545454545453,51.91541090607643,36.499304696917534,0.29694662798777005,1.4223671200635455,1.0,1.0
rag,rag-02,2,reuse_eligible,document_reorder,176,32.0,0.1818181818181818,54.5712203408281,50.458076409995556,0.07537203502402247,1.081516066871264,1.0,1.0
rag,rag-03,3,reuse_eligible,query_replacement,177,160.0,0.903954802259887,52.86399026711782,27.12378402551015,0.48691379730406875,1.9489902374019343,1.0,1.0
periodic_agent,periodic-00,0,cold,cold_start,230,0.0,0.0,60.09492495407661,60.04856154322624,0.0007715029328316552,1.000772098609173,0.25,0.25
periodic_agent,periodic-01,1,reuse_eligible,sliding_window,230,80.0,0.34782608695652173,59.41226674864689,49.43675392617782,0.16790325244906198,1.2017833298150027,0.25,0.25
periodic_agent,periodic-02,2,reuse_eligible,sliding_window,230,80.0,0.34782608695652173,60.165160335600376,50.36075382182995,0.16295820469988925,1.1946834741286279,0.25,0.25
periodic_agent,periodic-03,3,reuse_eligible,sliding_window,230,80.0,0.34782608695652173,60.478726091484226,50.5121893559893,0.16479409173432102,1.197309537807891,0.25,0.25
periodic_agent,periodic-04,4,reuse_eligible,sliding_window,230,80.0,0.34782608695652173,60.421859535078205,50.49572605639696,0.16428050303414743,1.1965737351235446,0.25,0.25
periodic_agent,periodic-05,5,reuse_eligible,sliding_window,230,80.0,0.34782608695652173,60.2797536800305,50.60057279964288,0.16057100916114297,1.1912859943051066,0.25,0.25
chat,chat-00,0,cold,cold_start,53,0.0,0.0,29.1257764523228,29.109805822372437,0.0005483331912715267,1.0005486340255176,1.0,1.0
chat,chat-01,1,reuse_eligible,append_turn,97,48.0,0.4948453608247423,36.74425836652517,29.434672246376675,0.19893138261861593,1.2483325127239455,0.75,0.75
chat,chat-02,2,reuse_eligible,append_turn,149,96.0,0.6442953020134228,56.52063091595968,31.32552777727445,0.44576825718997615,1.8042993981720996,1.0,1.0
chat,chat-03,3,reuse_eligible,edit_history,149,32.0,0.21476510067114093,49.952215825517975,37.713655891517796,0.24500534624428288,1.324512690289269,0.8000000000000002,0.8000000000000002
