trace_id,transition_id,split,decision,label_source,label_reason,previous_token_count,current_token_count,previous_changed_token_count,current_changed_token_count,block_size,candidate_block_index,candidate_position_ratio,relative_block_offset,nearest_changed_block_distance,source_displacement_blocks,candidate_share_of_native_recompute,same_position_match,requires_repacking,changed_candidate_token_overlap_ratio,introduced_candidate_token_overlap_ratio,removed_candidate_token_overlap_ratio,changed_candidate_token_jaccard,edit_span_count,edit_span_count_before_candidate,previous_changed_tokens_before_candidate,current_changed_tokens_before_candidate,preceding_context_match_tokens,preceding_matching_run_blocks,following_matching_run_blocks,matching_run_length_blocks,source_occurrence_count,aligned_source_occurrence_count
dependency-version-64-early-facts_early-v1,dependency-version-64-early-facts_early-v1-base-to-edit,train,repair,synthetic_dependency,Block overlaps annotated dependent segments: right_fact,131,131,1,1,16,3,0.366412213740458,1,1,0.0,0.8080808080808081,True,False,1.0,1.0,0.0,0.0625,1,1,1,1,13,0,4,5,1,1
dependency-version-64-early-facts_early-v1,dependency-version-64-early-facts_early-v1-base-to-edit,train,reuse,synthetic_dependency,Block does not overlap an annotated dependent segment.,131,131,1,1,16,4,0.48854961832061067,2,2,0.0,0.8080808080808081,True,False,0.0,0.0,0.0,0.0,1,1,1,1,29,1,3,5,5,3
dependency-version-64-early-facts_early-v1,dependency-version-64-early-facts_early-v1-base-to-edit,train,reuse,synthetic_dependency,Block does not overlap an annotated dependent segment.,131,131,1,1,16,5,0.6106870229007634,3,3,0.0,0.8080808080808081,True,False,0.0,0.0,0.0,0.0,1,1,1,1,45,2,2,5,5,3
dependency-version-64-early-facts_early-v1,dependency-version-64-early-facts_early-v1-base-to-edit,train,reuse,synthetic_dependency,Block does not overlap an annotated dependent segment.,131,131,1,1,16,6,0.732824427480916,4,4,0.0,0.8080808080808081,True,False,0.0,0.0,0.0,0.0,1,1,1,1,61,3,1,5,5,3
dependency-version-64-early-facts_early-v1,dependency-version-64-early-facts_early-v1-base-to-edit,train,repair,synthetic_dependency,Block overlaps annotated dependent segments: query,131,131,1,1,16,7,0.8549618320610687,5,5,0.0,0.8080808080808081,True,False,0.0,0.0,0.0,0.0,1,1,1,1,77,4,0,5,1,1
dependency-version-64-early-facts_middle-v1,dependency-version-64-early-facts_middle-v1-base-to-edit,train,reuse,synthetic_dependency,Block does not overlap an annotated dependent segment.,132,132,1,1,16,3,0.36363636363636365,1,1,0.0,0.8,True,False,0.0,0.0,0.0,0.0,1,1,1,1,13,0,4,5,3,1
dependency-version-64-early-facts_middle-v1,dependency-version-64-early-facts_middle-v1-base-to-edit,train,repair,synthetic_dependency,"Block overlaps annotated dependent segments: left_fact, right_fact",132,132,1,1,16,4,0.48484848484848486,2,2,0.0,0.8,True,False,1.0,1.0,1.0,0.07142857142857142,1,1,1,1,29,1,3,5,1,1
dependency-version-64-early-facts_middle-v1,dependency-version-64-early-facts_middle-v1-base-to-edit,train,repair,synthetic_dependency,Block overlaps annotated dependent segments: right_fact,132,132,1,1,16,5,0.6060606060606061,3,3,0.0,0.8,True,False,0.0,0.0,0.0,0.0,1,1,1,1,45,2,2,5,1,1
dependency-version-64-early-facts_middle-v1,dependency-version-64-early-facts_middle-v1-base-to-edit,train,reuse,synthetic_dependency,Block does not overlap an annotated dependent segment.,132,132,1,1,16,6,0.7272727272727273,4,4,0.0,0.8,True,False,0.0,0.0,0.0,0.0,1,1,1,1,61,3,1,5,3,1
dependency-version-64-early-facts_middle-v1,dependency-version-64-early-facts_middle-v1-base-to-edit,train,repair,synthetic_dependency,Block overlaps annotated dependent segments: query,132,132,1,1,16,7,0.8484848484848485,5,5,0.0,0.8,True,False,0.0,0.0,0.0,0.0,1,1,1,1,77,4,0,5,1,1
dependency-version-64-early-facts_late-v1,dependency-version-64-early-facts_late-v1-base-to-edit,train,reuse,synthetic_dependency,Block does not overlap an annotated dependent segment.,132,132,1,1,16,3,0.36363636363636365,1,1,0.0,0.8,True,False,0.0,0.0,0.0,0.0,1,1,1,1,13,0,4,5,4,2
dependency-version-64-early-facts_late-v1,dependency-version-64-early-facts_late-v1-base-to-edit,train,reuse,synthetic_dependency,Block does not overlap an annotated dependent segment.,132,132,1,1,16,4,0.48484848484848486,2,2,0.0,0.8,True,False,0.0,0.0,0.0,0.0,1,1,1,1,29,1,3,5,4,2
dependency-version-64-early-facts_late-v1,dependency-version-64-early-facts_late-v1-base-to-edit,train,repair,synthetic_dependency,"Block overlaps annotated dependent segments: left_fact, right_fact",132,132,1,1,16,5,0.6060606060606061,3,3,0.0,0.8,True,False,1.0,1.0,1.0,0.06666666666666667,1,1,1,1,45,2,2,5,1,1
dependency-version-64-early-facts_late-v1,dependency-version-64-early-facts_late-v1-base-to-edit,train,repair,synthetic_dependency,Block overlaps annotated dependent segments: right_fact,132,132,1,1,16,6,0.7272727272727273,4,4,0.0,0.8,True,False,0.0,0.0,0.0,0.0,1,1,1,1,61,3,1,5,1,1
dependency-version-64-early-facts_late-v1,dependency-version-64-early-facts_late-v1-base-to-edit,train,repair,synthetic_dependency,Block overlaps annotated dependent segments: query,132,132,1,1,16,7,0.8484848484848485,5,5,0.0,0.8,True,False,0.0,0.0,0.0,0.0,1,1,1,1,77,4,0,5,1,1
dependency-version-64-early-facts_separated-v1,dependency-version-64-early-facts_separated-v1-base-to-edit,train,reuse,synthetic_dependency,Block does not overlap an annotated dependent segment.,132,132,1,1,16,3,0.36363636363636365,1,1,0.0,0.8,True,False,0.0,0.0,0.0,0.0,1,1,1,1,13,0,4,5,4,1
dependency-version-64-early-facts_separated-v1,dependency-version-64-early-facts_separated-v1-base-to-edit,train,repair,synthetic_dependency,Block overlaps annotated dependent segments: right_fact,132,132,1,1,16,4,0.48484848484848486,2,2,0.0,0.8,True,False,1.0,1.0,0.0,0.08333333333333333,1,1,1,1,29,1,3,5,1,1
dependency-version-64-early-facts_separated-v1,dependency-version-64-early-facts_separated-v1-base-to-edit,train,repair,synthetic_dependency,Block overlaps annotated dependent segments: right_fact,132,132,1,1,16,5,0.6060606060606061,3,3,0.0,0.8,True,False,0.0,0.0,0.0,0.0,1,1,1,1,45,2,2,5,1,1
dependency-version-64-early-facts_separated-v1,dependency-version-64-early-facts_separated-v1-base-to-edit,train,reuse,synthetic_dependency,Block does not overlap an annotated dependent segment.,132,132,1,1,16,6,0.7272727272727273,4,4,0.0,0.8,True,False,0.0,0.0,0.0,0.0,1,1,1,1,61,3,1,5,3,1
dependency-version-64-early-facts_separated-v1,dependency-version-64-early-facts_separated-v1-base-to-edit,train,repair,synthetic_dependency,Block overlaps annotated dependent segments: query,132,132,1,1,16,7,0.8484848484848485,5,5,0.0,0.8,True,False,0.0,0.0,0.0,0.0,1,1,1,1,77,4,0,5,1,1
dependency-version-64-early-facts_reversed-v1,dependency-version-64-early-facts_reversed-v1-base-to-edit,train,reuse,synthetic_dependency,Block does not overlap an annotated dependent segment.,132,132,1,1,16,3,0.36363636363636365,1,1,0.0,0.8,True,False,0.0,0.0,0.0,0.0,1,1,1,1,13,0,4,5,4,1
dependency-version-64-early-facts_reversed-v1,dependency-version-64-early-facts_reversed-v1-base-to-edit,train,repair,synthetic_dependency,Block overlaps annotated dependent segments: left_fact,132,132,1,1,16,4,0.48484848484848486,2,2,0.0,0.8,True,False,0.0,0.0,1.0,0.0,1,1,1,1,29,1,3,5,1,1
dependency-version-64-early-facts_reversed-v1,dependency-version-64-early-facts_reversed-v1-base-to-edit,train,repair,synthetic_dependency,Block overlaps annotated dependent segments: left_fact,132,132,1,1,16,5,0.6060606060606061,3,3,0.0,0.8,True,False,0.0,0.0,0.0,0.0,1,1,1,1,45,2,2,5,1,1
dependency-version-64-early-facts_reversed-v1,dependency-version-64-early-facts_reversed-v1-base-to-edit,train,reuse,synthetic_dependency,Block does not overlap an annotated dependent segment.,132,132,1,1,16,6,0.7272727272727273,4,4,0.0,0.8,True,False,0.0,0.0,0.0,0.0,1,1,1,1,61,3,1,5,3,1
dependency-version-64-early-facts_reversed-v1,dependency-version-64-early-facts_reversed-v1-base-to-edit,train,repair,synthetic_dependency,Block overlaps annotated dependent segments: query,132,132,1,1,16,7,0.8484848484848485,5,5,0.0,0.8,True,False,0.0,0.0,0.0,0.0,1,1,1,1,77,4,0,5,1,1
dependency-version-64-middle-facts_early-v1,dependency-version-64-middle-facts_early-v1-base-to-edit,train,repair,synthetic_dependency,"Block overlaps annotated dependent segments: left_fact, right_fact",131,131,1,1,16,4,0.48854961832061067,1,1,0.0,0.7710843373493976,True,False,1.0,1.0,0.0,0.08333333333333333,1,1,1,1,3,0,3,4,1,1
dependency-version-64-middle-facts_early-v1,dependency-version-64-middle-facts_early-v1-base-to-edit,train,repair,synthetic_dependency,Block overlaps annotated dependent segments: right_fact,131,131,1,1,16,5,0.6106870229007634,2,2,0.0,0.7710843373493976,True,False,0.0,0.0,0.0,0.0,1,1,1,1,19,1,2,4,1,1
dependency-version-64-middle-facts_early-v1,dependency-version-64-middle-facts_early-v1-base-to-edit,train,reuse,synthetic_dependency,Block does not overlap an annotated dependent segment.,131,131,1,1,16,6,0.732824427480916,3,3,0.0,0.7710843373493976,True,False,0.0,0.0,0.0,0.0,1,1,1,1,35,2,1,4,4,1
dependency-version-64-middle-facts_early-v1,dependency-version-64-middle-facts_early-v1-base-to-edit,train,repair,synthetic_dependency,Block overlaps annotated dependent segments: query,131,131,1,1,16,7,0.8549618320610687,4,4,0.0,0.7710843373493976,True,False,0.0,0.0,0.0,0.0,1,1,1,1,51,3,0,4,1,1
dependency-version-64-middle-facts_middle-v1,dependency-version-64-middle-facts_middle-v1-base-to-edit,train,repair,synthetic_dependency,Block overlaps annotated dependent segments: left_fact,132,132,1,1,16,4,0.48484848484848486,1,1,0.0,0.7619047619047619,True,False,0.0,0.0,0.0,0.0,1,1,1,1,3,0,3,4,1,1
dependency-version-64-middle-facts_middle-v1,dependency-version-64-middle-facts_middle-v1-base-to-edit,train,repair,synthetic_dependency,"Block overlaps annotated dependent segments: left_fact, right_fact",132,132,1,1,16,5,0.6060606060606061,2,2,0.0,0.7619047619047619,True,False,1.0,1.0,1.0,0.07692307692307693,1,1,1,1,19,1,2,4,1,1
dependency-version-64-middle-facts_middle-v1,dependency-version-64-middle-facts_middle-v1-base-to-edit,train,repair,synthetic_dependency,Block overlaps annotated dependent segments: right_fact,132,132,1,1,16,6,0.7272727272727273,3,3,0.0,0.7619047619047619,True,False,0.0,0.0,0.0,0.0,1,1,1,1,35,2,1,4,1,1
dependency-version-64-middle-facts_middle-v1,dependency-version-64-middle-facts_middle-v1-base-to-edit,train,repair,synthetic_dependency,Block overlaps annotated dependent segments: query,132,132,1,1,16,7,0.8484848484848485,4,4,0.0,0.7619047619047619,True,False,0.0,0.0,0.0,0.0,1,1,1,1,51,3,0,4,1,1
dependency-version-64-middle-facts_late-v1,dependency-version-64-middle-facts_late-v1-base-to-edit,train,reuse,synthetic_dependency,Block does not overlap an annotated dependent segment.,132,132,1,1,16,4,0.48484848484848486,1,1,0.0,0.7619047619047619,True,False,0.0,0.0,0.0,0.0,1,1,1,1,3,0,3,4,3,1
dependency-version-64-middle-facts_late-v1,dependency-version-64-middle-facts_late-v1-base-to-edit,train,repair,synthetic_dependency,Block overlaps annotated dependent segments: left_fact,132,132,1,1,16,5,0.6060606060606061,2,2,0.0,0.7619047619047619,True,False,0.0,0.0,1.0,0.0,1,1,1,1,19,1,2,4,1,1
dependency-version-64-middle-facts_late-v1,dependency-version-64-middle-facts_late-v1-base-to-edit,train,repair,synthetic_dependency,"Block overlaps annotated dependent segments: left_fact, right_fact",132,132,1,1,16,6,0.7272727272727273,3,3,0.0,0.7619047619047619,True,False,1.0,1.0,0.0,0.07692307692307693,1,1,1,1,35,2,1,4,1,1
dependency-version-64-middle-facts_late-v1,dependency-version-64-middle-facts_late-v1-base-to-edit,train,repair,synthetic_dependency,Block overlaps annotated dependent segments: query,132,132,1,1,16,7,0.8484848484848485,4,4,0.0,0.7619047619047619,True,False,0.0,0.0,0.0,0.0,1,1,1,1,51,3,0,4,1,1
dependency-version-64-middle-facts_separated-v1,dependency-version-64-middle-facts_separated-v1-base-to-edit,train,repair,synthetic_dependency,Block overlaps annotated dependent segments: left_fact,132,132,1,1,16,4,0.48484848484848486,1,1,0.0,0.7619047619047619,True,False,0.0,0.0,0.0,0.0,1,1,1,1,3,0,3,4,1,1
dependency-version-64-middle-facts_separated-v1,dependency-version-64-middle-facts_separated-v1-base-to-edit,train,repair,synthetic_dependency,Block overlaps annotated dependent segments: right_fact,132,132,1,1,16,5,0.6060606060606061,2,2,0.0,0.7619047619047619,True,False,1.0,1.0,0.0,0.06666666666666667,1,1,1,1,19,1,2,4,1,1
dependency-version-64-middle-facts_separated-v1,dependency-version-64-middle-facts_separated-v1-base-to-edit,train,repair,synthetic_dependency,Block overlaps annotated dependent segments: right_fact,132,132,1,1,16,6,0.7272727272727273,3,3,0.0,0.7619047619047619,True,False,0.0,0.0,0.0,0.0,1,1,1,1,35,2,1,4,1,1
dependency-version-64-middle-facts_separated-v1,dependency-version-64-middle-facts_separated-v1-base-to-edit,train,repair,synthetic_dependency,Block overlaps annotated dependent segments: query,132,132,1,1,16,7,0.8484848484848485,4,4,0.0,0.7619047619047619,True,False,0.0,0.0,0.0,0.0,1,1,1,1,51,3,0,4,1,1
dependency-version-64-middle-facts_reversed-v1,dependency-version-64-middle-facts_reversed-v1-base-to-edit,train,repair,synthetic_dependency,Block overlaps annotated dependent segments: right_fact,132,132,1,1,16,4,0.48484848484848486,1,1,0.0,0.7619047619047619,True,False,0.0,0.0,0.0,0.0,1,1,1,1,3,0,3,4,1,1
dependency-version-64-middle-facts_reversed-v1,dependency-version-64-middle-facts_reversed-v1-base-to-edit,train,repair,synthetic_dependency,Block overlaps annotated dependent segments: left_fact,132,132,1,1,16,5,0.6060606060606061,2,2,0.0,0.7619047619047619,True,False,0.0,0.0,1.0,0.0,1,1,1,1,19,1,2,4,1,1
dependency-version-64-middle-facts_reversed-v1,dependency-version-64-middle-facts_reversed-v1-base-to-edit,train,repair,synthetic_dependency,Block overlaps annotated dependent segments: left_fact,132,132,1,1,16,6,0.7272727272727273,3,3,0.0,0.7619047619047619,True,False,0.0,0.0,0.0,0.0,1,1,1,1,35,2,1,4,1,1
dependency-version-64-middle-facts_reversed-v1,dependency-version-64-middle-facts_reversed-v1-base-to-edit,train,repair,synthetic_dependency,Block overlaps annotated dependent segments: query,132,132,1,1,16,7,0.8484848484848485,4,4,0.0,0.7619047619047619,True,False,0.0,0.0,0.0,0.0,1,1,1,1,51,3,0,4,1,1
dependency-version-64-late-facts_early-v1,dependency-version-64-late-facts_early-v1-base-to-edit,train,repair,synthetic_dependency,"Block overlaps annotated dependent segments: left_fact, right_fact",131,131,1,1,16,5,0.6106870229007634,1,1,0.0,0.7164179104477612,True,False,1.0,1.0,1.0,0.08333333333333333,1,1,1,1,0,0,2,3,1,1
dependency-version-64-late-facts_early-v1,dependency-version-64-late-facts_early-v1-base-to-edit,train,repair,synthetic_dependency,Block overlaps annotated dependent segments: right_fact,131,131,1,1,16,6,0.732824427480916,2,2,0.0,0.7164179104477612,True,False,0.0,0.0,0.0,0.0,1,1,1,1,16,1,1,3,1,1
dependency-version-64-late-facts_early-v1,dependency-version-64-late-facts_early-v1-base-to-edit,train,repair,synthetic_dependency,Block overlaps annotated dependent segments: query,131,131,1,1,16,7,0.8549618320610687,3,3,0.0,0.7164179104477612,True,False,0.0,0.0,0.0,0.0,1,1,1,1,32,2,0,3,1,1
dependency-version-64-late-facts_middle-v1,dependency-version-64-late-facts_middle-v1-base-to-edit,train,repair,synthetic_dependency,Block overlaps annotated dependent segments: left_fact,132,132,1,1,16,5,0.6060606060606061,1,1,0.0,0.7058823529411765,True,False,0.0,0.0,1.0,0.0,1,1,1,1,0,0,2,3,1,1
dependency-version-64-late-facts_middle-v1,dependency-version-64-late-facts_middle-v1-base-to-edit,train,repair,synthetic_dependency,"Block overlaps annotated dependent segments: left_fact, right_fact",132,132,1,1,16,6,0.7272727272727273,2,2,0.0,0.7058823529411765,True,False,1.0,1.0,0.0,0.07692307692307693,1,1,1,1,16,1,1,3,1,1
dependency-version-64-late-facts_middle-v1,dependency-version-64-late-facts_middle-v1-base-to-edit,train,repair,synthetic_dependency,Block overlaps annotated dependent segments: query,132,132,1,1,16,7,0.8484848484848485,3,3,0.0,0.7058823529411765,True,False,0.0,0.0,0.0,0.0,1,1,1,1,32,2,0,3,1,1
dependency-version-64-late-facts_late-v1,dependency-version-64-late-facts_late-v1-base-to-edit,train,repair,synthetic_dependency,Block overlaps annotated dependent segments: left_fact,132,132,1,1,16,5,0.6060606060606061,1,1,0.0,0.7058823529411765,True,False,0.0,0.0,1.0,0.0,1,1,1,1,0,0,2,3,1,1
dependency-version-64-late-facts_late-v1,dependency-version-64-late-facts_late-v1-base-to-edit,train,repair,synthetic_dependency,"Block overlaps annotated dependent segments: left_fact, right_fact",132,132,1,1,16,6,0.7272727272727273,2,2,0.0,0.7058823529411765,True,False,1.0,1.0,0.0,0.07692307692307693,1,1,1,1,16,1,1,3,1,1
dependency-version-64-late-facts_late-v1,dependency-version-64-late-facts_late-v1-base-to-edit,train,repair,synthetic_dependency,"Block overlaps annotated dependent segments: right_fact, query",132,132,1,1,16,7,0.8484848484848485,3,3,0.0,0.7058823529411765,True,False,0.0,0.0,0.0,0.0,1,1,1,1,32,2,0,3,1,1
dependency-version-64-late-facts_separated-v1,dependency-version-64-late-facts_separated-v1-base-to-edit,train,repair,synthetic_dependency,Block overlaps annotated dependent segments: left_fact,132,132,1,1,16,5,0.6060606060606061,1,1,0.0,0.7058823529411765,True,False,0.0,0.0,1.0,0.0,1,1,1,1,0,0,2,3,1,1
dependency-version-64-late-facts_separated-v1,dependency-version-64-late-facts_separated-v1-base-to-edit,train,repair,synthetic_dependency,Block overlaps annotated dependent segments: right_fact,132,132,1,1,16,6,0.7272727272727273,2,2,0.0,0.7058823529411765,True,False,1.0,1.0,0.0,0.0625,1,1,1,1,16,1,1,3,1,1
dependency-version-64-late-facts_separated-v1,dependency-version-64-late-facts_separated-v1-base-to-edit,train,repair,synthetic_dependency,Block overlaps annotated dependent segments: query,132,132,1,1,16,7,0.8484848484848485,3,3,0.0,0.7058823529411765,True,False,0.0,0.0,0.0,0.0,1,1,1,1,32,2,0,3,1,1
dependency-version-64-late-facts_reversed-v1,dependency-version-64-late-facts_reversed-v1-base-to-edit,train,repair,synthetic_dependency,Block overlaps annotated dependent segments: right_fact,132,132,1,1,16,5,0.6060606060606061,1,1,0.0,0.7058823529411765,True,False,1.0,1.0,0.0,0.06666666666666667,1,1,1,1,0,0,2,3,1,1
dependency-version-64-late-facts_reversed-v1,dependency-version-64-late-facts_reversed-v1-base-to-edit,train,repair,synthetic_dependency,Block overlaps annotated dependent segments: left_fact,132,132,1,1,16,6,0.7272727272727273,2,2,0.0,0.7058823529411765,True,False,0.0,0.0,1.0,0.0,1,1,1,1,16,1,1,3,1,1
dependency-version-64-late-facts_reversed-v1,dependency-version-64-late-facts_reversed-v1-base-to-edit,train,repair,synthetic_dependency,Block overlaps annotated dependent segments: query,132,132,1,1,16,7,0.8484848484848485,3,3,0.0,0.7058823529411765,True,False,0.0,0.0,0.0,0.0,1,1,1,1,32,2,0,3,1,1
dependency-version-256-early-facts_early-v1,dependency-version-256-early-facts_early-v1-base-to-edit,train,repair,synthetic_dependency,"Block overlaps annotated dependent segments: left_fact, right_fact",323,323,1,1,16,4,0.19814241486068113,1,1,0.0,0.9309090909090909,True,False,1.0,1.0,0.0,0.07142857142857142,1,1,1,1,10,0,15,16,1,1
dependency-version-256-early-facts_early-v1,dependency-version-256-early-facts_early-v1-base-to-edit,train,reuse,synthetic_dependency,Block does not overlap an annotated dependent segment.,323,323,1,1,16,5,0.2476780185758514,2,2,0.0,0.9309090909090909,True,False,0.0,0.0,0.0,0.0,1,1,1,1,26,1,14,16,28,14
dependency-version-256-early-facts_early-v1,dependency-version-256-early-facts_early-v1-base-to-edit,train,reuse,synthetic_dependency,Block does not overlap an annotated dependent segment.,323,323,1,1,16,6,0.29721362229102166,3,3,0.0,0.9309090909090909,True,False,0.0,0.0,0.0,0.0,1,1,1,1,42,2,13,16,28,14
dependency-version-256-early-facts_early-v1,dependency-version-256-early-facts_early-v1-base-to-edit,train,reuse,synthetic_dependency,Block does not overlap an annotated dependent segment.,323,323,1,1,16,7,0.34674922600619196,4,4,0.0,0.9309090909090909,True,False,0.0,0.0,0.0,0.0,1,1,1,1,58,3,12,16,28,14
