activation_index,apc,prompt_token_count,num_cached_tokens,ttft_seconds,output_text,expect_flag,anomaly_entity,predicted_flagged_entities,correct
0,off,2086,0,0.5060968399047852,"ALERT: src/auth.py - coverage dropped by 1.7% from the previous check
ALERT: src/payment.py - coverage dropped by 1.7% from the previous check
ALERT: src/api_routes.py - coverage dropped by 1.7% from the previous check",False,,"['src/auth.py', 'src/payment.py', 'src/api_routes.py']",False
1,off,2089,0,0.521148681640625,"ALERT: src/auth.py - coverage dropped by -3.9% from the previous check
ALERT: src/payment.py - coverage dropped by -4.2% from the previous check
ALERT: src/api_routes.py - coverage dropped by -3.4% from the previous check",False,,"['src/auth.py', 'src/payment.py', 'src/api_routes.py']",False
2,off,2092,0,0.5211317539215088,"ALERT: src/auth.py - coverage dropped by 1.7%
ALERT: src/payment.py - coverage dropped by 1.8%
ALERT: src/api_routes.py - coverage dropped by 0.6%",False,,"['src/auth.py', 'src/payment.py', 'src/api_routes.py']",False
3,off,2095,0,0.5144996643066406,"ALERT: src/auth.py - coverage dropped by 1.7%
ALERT: src/payment.py - coverage dropped by 1.7%
ALERT: src/api_routes.py - coverage dropped by 0.2%",False,,"['src/auth.py', 'src/payment.py', 'src/api_routes.py']",False
4,off,2098,0,0.5197081565856934,"ALERT: src/auth.py - coverage dropped by 0.9% from the previous check
ALERT: src/payment.py - coverage dropped by 1.7% from the previous check
ALERT: src/api_routes.py - coverage dropped by 0.6% from the previous check",False,,"['src/auth.py', 'src/payment.py', 'src/api_routes.py']",False
5,off,2101,0,0.5216817855834961,STATUS: nominal,False,,[],True
6,off,2104,0,0.5211913585662842,STATUS: nominal,False,,[],True
7,off,2107,0,0.5219783782958984,STATUS: nominal,False,,[],True
8,off,2110,0,0.5219259262084961,ALERT: src/auth.py - coverage dropped by 1.7% from the previous check.,False,,['src/auth.py'],False
9,off,2113,0,0.5211527347564697,ALERT: src/auth.py - coverage dropped by 1.7% from the previous check.,False,,['src/auth.py'],False
10,off,2117,0,0.5212674140930176,"ALERT: src/auth.py - coverage dropped by 1.7%
ALERT: src/payment.py - coverage dropped by 40.0%
ALERT: src/api_routes.py - coverage dropped by 0.6%",True,src/payment.py,"['src/auth.py', 'src/payment.py', 'src/api_routes.py']",False
11,off,2117,0,0.522897481918335,"ALERT: src/auth.py - coverage dropped by 1.7%
ALERT: src/payment.py - coverage dropped by 0.8%
ALERT: src/api_routes.py - coverage dropped by 0.2%",False,,"['src/auth.py', 'src/payment.py', 'src/api_routes.py']",False
12,off,2117,0,0.522000789642334,"ALERT: src/auth.py - coverage dropped by 1.7%
ALERT: src/payment.py - coverage dropped by 0.8%
ALERT: src/api_routes.py - coverage dropped by 1.3%",False,,"['src/auth.py', 'src/payment.py', 'src/api_routes.py']",False
13,off,2117,0,0.5224575996398926,STATUS: nominal,False,,[],True
14,off,2117,0,0.5215785503387451,"ALERT: src/auth.py - coverage dropped by -1.4%
ALERT: src/payment.py - coverage dropped by -1.3%",False,,"['src/auth.py', 'src/payment.py']",False
15,off,2118,0,0.5202419757843018,STATUS: nominal,False,,[],True
16,off,2119,0,0.5244369506835938,STATUS: nominal,False,,[],True
17,off,2120,0,0.5235543251037598,STATUS: nominal,False,,[],True
18,off,2121,0,0.5219707489013672,"ALERT: src/auth.py - coverage dropped by -1.4%
ALERT: src/payment.py - coverage dropped by -1.8%",False,,"['src/auth.py', 'src/payment.py']",False
19,off,2122,0,0.5193779468536377,STATUS: nominal,False,,[],True
