layer,check_index,distance_from_drop,v_cosine_similarity,v_relative_l2,k_cosine_similarity,k_relative_l2
0,1,1,1.0,0.0,0.9999,0.0101
0,2,2,1.0,0.0,0.9999,0.0101
0,3,3,1.0,0.0,0.9999,0.0101
0,4,4,1.0,0.0,0.9999,0.0102
0,5,5,1.0,0.0,0.9999,0.0101
1,1,1,0.9884,0.1525,0.9975,0.071
1,2,2,0.9994,0.0358,0.9975,0.0703
1,3,3,0.9999,0.0165,0.9975,0.0702
1,4,4,0.9999,0.0118,0.9975,0.0702
1,5,5,0.9999,0.0117,0.9975,0.0703
2,1,1,0.9347,0.3693,0.9634,0.2681
2,2,2,0.9903,0.1394,0.9641,0.2663
2,3,3,0.9964,0.0861,0.9635,0.2692
2,4,4,0.9977,0.068,0.9637,0.2683
2,5,5,0.9986,0.0543,0.9635,0.2697
3,1,1,0.7765,0.6529,0.902,0.4318
3,2,2,0.9902,0.1402,0.9186,0.3983
3,3,3,0.9939,0.1105,0.9182,0.4011
3,4,4,0.9954,0.0959,0.916,0.4071
3,5,5,0.9963,0.0859,0.9161,0.4081
4,1,1,0.896,0.4671,0.8989,0.4402
4,2,2,0.9907,0.1364,0.9162,0.4023
4,3,3,0.9955,0.0946,0.9148,0.4075
4,4,4,0.9966,0.0828,0.9142,0.41
4,5,5,0.9978,0.0669,0.9153,0.4087
5,1,1,0.904,0.44,0.88,0.4798
5,2,2,0.9785,0.2064,0.894,0.4561
5,3,3,0.9835,0.1811,0.8929,0.4602
5,4,4,0.9848,0.1741,0.8928,0.4618
5,5,5,0.9881,0.1539,0.8912,0.4659
6,1,1,0.8563,0.5435,0.8835,0.4818
6,2,2,0.9834,0.1845,0.8953,0.4547
6,3,3,0.9882,0.1536,0.8931,0.4588
6,4,4,0.9926,0.1214,0.8922,0.4625
6,5,5,0.9952,0.0978,0.8928,0.4621
7,1,1,0.8349,0.5849,0.9754,0.2232
7,2,2,0.9787,0.2064,0.9754,0.2224
7,3,3,0.9852,0.1719,0.9746,0.2251
7,4,4,0.9877,0.1563,0.9737,0.2292
7,5,5,0.992,0.1262,0.973,0.2325
8,1,1,0.7859,0.6504,0.8846,0.4733
8,2,2,0.9768,0.216,0.9158,0.405
8,3,3,0.9842,0.1772,0.9167,0.4042
8,4,4,0.9878,0.1559,0.9163,0.4059
8,5,5,0.9905,0.1379,0.9183,0.4019
9,1,1,0.7985,0.6195,0.8543,0.53
9,2,2,0.9339,0.3597,0.8947,0.4541
9,3,3,0.9771,0.2137,0.8947,0.4557
9,4,4,0.9884,0.1522,0.8998,0.4454
9,5,5,0.9903,0.1392,0.9021,0.4411
10,1,1,0.5384,0.9239,0.9064,0.4228
10,2,2,0.8674,0.5126,0.9461,0.3243
10,3,3,0.9454,0.346,0.949,0.3174
10,4,4,0.9718,0.2397,0.9497,0.3151
10,5,5,0.9809,0.1956,0.951,0.3117
11,1,1,0.8412,0.5454,0.8875,0.4624
11,2,2,0.9465,0.3238,0.9088,0.4202
