check_index,distance_from_drop,baseline_output,baseline_correct,spliced_output,spliced_correct,answer_changed
1,1,STATUS: nominal,True,STATUS: nominal,True,False
2,2,STATUS: nominal,True,STATUS: nominal,True,False
3,3,STATUS: nominal,True,STATUS: nominal,True,False
4,4,STATUS: nominal,True,STATUS: nominal,True,False
5,5,STATUS: nominal,True,STATUS: nominal,True,False
6,6,STATUS: nominal,True,STATUS: nominal,True,False
7,7,STATUS: nominal,True,STATUS: nominal,True,False
8,8,STATUS: nominal,True,STATUS: nominal,True,False
9,9,STATUS: nominal,True,STATUS: nominal,True,False
10,10,STATUS: nominal,True,STATUS: nominal,True,False
11,11,STATUS: nominal,True,STATUS: nominal,True,False
12,12,STATUS: nominal,True,STATUS: nominal,True,False
13,13,STATUS: nominal,True,STATUS: nominal,True,False
14,14,STATUS: nominal,True,STATUS: nominal,True,False
