trace_id,transition_id,split,decision,label_source,label_reason,previous_token_count,current_token_count,previous_changed_token_count,current_changed_token_count,block_size,candidate_block_index,candidate_position_ratio,relative_block_offset,nearest_changed_block_distance,source_displacement_blocks,candidate_share_of_native_recompute,same_position_match,requires_repacking,changed_candidate_token_overlap_ratio,introduced_candidate_token_overlap_ratio,removed_candidate_token_overlap_ratio,changed_candidate_token_jaccard,edit_span_count,edit_span_count_before_candidate,previous_changed_tokens_before_candidate,current_changed_tokens_before_candidate,preceding_context_match_tokens,preceding_matching_run_blocks,following_matching_run_blocks,matching_run_length_blocks,source_occurrence_count,aligned_source_occurrence_count,mtrag_case_index,mtrag_collection,mtrag_conversation_id,mtrag_current_task_id,trial_id,adjudication,review_id,review_verdict,review_reason
mtrag:79f0d0539d9ec0acbf90cb3388b30c17:6-to-7,mtrag:79f0d0539d9ec0acbf90cb3388b30c17:6-to-7,train,reuse,counterfactual_execution,"Blinded semantic review: Both answers provide a broadly correct definition and examples, while both omit how classification depends on a source's use.",1637,1719,696,778,16,62,0.5770796974985457,0,0,-17.0,0.2629582806573957,False,False,0.02056555269922879,0.03296703296703297,0.020942408376963352,0.0642570281124498,40,1,0,56,7,0,0,1,1,1,1,mt-rag-clapnq-elser-512-100-20240503,79f0d0539d9ec0acbf90cb3388b30c17,79f0d0539d9ec0acbf90cb3388b30c17<::>7,07edf37242604e309b43ee9be4661acf,blinded_semantic_review,review-011,equivalent,"Both answers provide a broadly correct definition and examples, while both omit how classification depends on a source's use."
mtrag:79f0d0539d9ec0acbf90cb3388b30c17:6-to-7,mtrag:79f0d0539d9ec0acbf90cb3388b30c17:6-to-7,train,reuse,counterfactual_execution,"Blinded semantic review: Both answers give a broadly correct definition and examples, while both omit the context-dependent distinction between primary and secondary sources.",1637,1719,696,778,16,63,0.5863874345549738,0,0,-19.0,0.2629582806573957,False,False,0.02056555269922879,0.02197802197802198,0.03664921465968586,0.05220883534136546,40,1,0,72,2,0,0,1,1,1,1,mt-rag-clapnq-elser-512-100-20240503,79f0d0539d9ec0acbf90cb3388b30c17,79f0d0539d9ec0acbf90cb3388b30c17<::>7,93dbe13b688f415ead1ae6a79f4b5493,blinded_semantic_review,review-002,equivalent,"Both answers give a broadly correct definition and examples, while both omit the context-dependent distinction between primary and secondary sources."
mtrag:6af5334fbd010b919d7fa174823abd12:1-to-2,mtrag:6af5334fbd010b919d7fa174823abd12:1-to-2,train,reuse,counterfactual_execution,"Blinded semantic review: Both answers correctly distinguish refinancing from obtaining a mortgage, and their minor wording differences do not change the meaning.",1250,1637,1212,1599,16,2,0.019547953573610263,0,0,-75.0,0.2691588785046729,False,False,0.010006253908692933,0.013157894736842105,0.010101010101010102,0.028985507246376812,5,0,0,0,0,0,0,1,1,1,3,mt-rag-fiqa-beir-elser-512-100-20240501,6af5334fbd010b919d7fa174823abd12,6af5334fbd010b919d7fa174823abd12<::>2,918d7063fba4414fb43ec08ee047a092,blinded_semantic_review,review-020,equivalent,"Both answers correctly distinguish refinancing from obtaining a mortgage, and their minor wording differences do not change the meaning."
mtrag:258193fc88e0e73322e288aa03719260:2-to-3,mtrag:258193fc88e0e73322e288aa03719260:2-to-3,train,repair,counterfactual_execution,Blinded semantic review: Answer A clearly identifies qualified charities and relevant examples; Answer B becomes corrupted and incomplete.,2020,1896,1782,1658,16,15,0.12658227848101267,0,0,-110.0,0.22966507177033493,False,False,0.009650180940892641,0.015306122448979591,0.0028089887640449437,0.02819548872180451,40,1,0,7,7,0,0,1,1,1,4,mt-rag-fiqa-beir-elser-512-100-20240501,258193fc88e0e73322e288aa03719260,258193fc88e0e73322e288aa03719260<::>3,0663ec77276c4c918ce284dca7d4321c,blinded_semantic_review,review-021,answer_a_better,Answer A clearly identifies qualified charities and relevant examples; Answer B becomes corrupted and incomplete.
mtrag:258193fc88e0e73322e288aa03719260:8-to-9,mtrag:258193fc88e0e73322e288aa03719260:8-to-9,train,reuse,counterfactual_execution,Reusing this block preserved the configured output-quality gate.,2672,2949,1406,1683,16,111,0.602238046795524,0,0,31.0,0.3574368018812463,False,False,0.009506833036244802,0.01046337817638266,0.007653061224489796,0.029357798165137616,29,2,0,496,12,0,27,28,1,1,5,mt-rag-fiqa-beir-elser-512-100-20240501,258193fc88e0e73322e288aa03719260,258193fc88e0e73322e288aa03719260<::>9,706e59942f754d91afad0bae5b83ee24,exact_output_match,,,
mtrag:258193fc88e0e73322e288aa03719260:8-to-9,mtrag:258193fc88e0e73322e288aa03719260:8-to-9,train,reuse,counterfactual_execution,Reusing this block preserved the configured output-quality gate.,2672,2949,1406,1683,16,112,0.6076636147846728,0,0,31.0,0.3574368018812463,False,False,0.009506833036244802,0.007473841554559043,0.0,0.023853211009174313,29,2,0,496,28,1,26,28,1,1,5,mt-rag-fiqa-beir-elser-512-100-20240501,258193fc88e0e73322e288aa03719260,258193fc88e0e73322e288aa03719260<::>9,133678b05eb24d03ac977c0edaa92d78,exact_output_match,,,
mtrag:258193fc88e0e73322e288aa03719260:8-to-9,mtrag:258193fc88e0e73322e288aa03719260:8-to-9,train,reuse,counterfactual_execution,Reusing this block preserved the configured output-quality gate.,2672,2949,1406,1683,16,114,0.6185147507629705,0,0,31.0,0.3574368018812463,False,False,0.009506833036244802,0.016442451420029897,0.002551020408163265,0.027522935779816515,29,2,0,496,60,3,24,28,1,1,5,mt-rag-fiqa-beir-elser-512-100-20240501,258193fc88e0e73322e288aa03719260,258193fc88e0e73322e288aa03719260<::>9,7a79574d8d3b4f3faff6a660cbbdcd92,exact_output_match,,,
mtrag:258193fc88e0e73322e288aa03719260:8-to-9,mtrag:258193fc88e0e73322e288aa03719260:8-to-9,train,reuse,counterfactual_execution,Reusing this block preserved the configured output-quality gate.,2672,2949,1406,1683,16,116,0.6293658867412683,0,0,31.0,0.3574368018812463,False,False,0.009506833036244802,0.02242152466367713,0.0,0.029357798165137616,29,2,0,496,92,5,22,28,1,1,5,mt-rag-fiqa-beir-elser-512-100-20240501,258193fc88e0e73322e288aa03719260,258193fc88e0e73322e288aa03719260<::>9,793439d676f64e288a2e4bd466967032,exact_output_match,,,
mtrag:258193fc88e0e73322e288aa03719260:8-to-9,mtrag:258193fc88e0e73322e288aa03719260:8-to-9,train,reuse,counterfactual_execution,Reusing this block preserved the configured output-quality gate.,2672,2949,1406,1683,16,117,0.6347914547304171,0,0,31.0,0.3574368018812463,False,False,0.009506833036244802,0.01046337817638266,0.007653061224489796,0.027522935779816515,29,2,0,496,108,6,21,28,1,1,5,mt-rag-fiqa-beir-elser-512-100-20240501,258193fc88e0e73322e288aa03719260,258193fc88e0e73322e288aa03719260<::>9,5391bf92eb6f4d609b5f248b4a113410,exact_output_match,,,
mtrag:258193fc88e0e73322e288aa03719260:8-to-9,mtrag:258193fc88e0e73322e288aa03719260:8-to-9,train,reuse,counterfactual_execution,Reusing this block preserved the configured output-quality gate.,2672,2949,1406,1683,16,118,0.6402170227195659,0,0,31.0,0.3574368018812463,False,False,0.009506833036244802,0.016442451420029897,0.007653061224489796,0.027522935779816515,29,2,0,496,124,7,20,28,1,1,5,mt-rag-fiqa-beir-elser-512-100-20240501,258193fc88e0e73322e288aa03719260,258193fc88e0e73322e288aa03719260<::>9,80c2f18759ce4ba296d9c63d0d96e685,exact_output_match,,,
