target_tokens,edit_radius,position,repetitions,executed_repetitions,mean_selected_reuse_rows,mean_reused_rows,mean_span_count,mean_forward_delta_ms,mean_active_vs_native_ttft_ms,active_quality_pass_rate,active_shadow_exact_match_rate,mean_active_shadow_word_similarity
256,0,early,3,3,207.0,207.0,2.0,-20.226,-2.652,1.0,1.0,1.0
256,0,middle,3,3,143.0,143.0,2.0,-9.177,8.113,1.0,1.0,1.0
256,0,late,3,3,63.0,63.0,2.0,7.898,24.864,1.0,1.0,1.0
256,1,early,3,3,191.0,191.0,2.0,-19.126,0.225,1.0,1.0,1.0
256,1,middle,3,3,127.0,127.0,2.0,-7.546,10.592,1.0,1.0,1.0
256,1,late,3,3,47.0,47.0,2.0,8.252,24.101,1.0,1.0,1.0
256,2,early,3,3,175.0,175.0,2.0,-17.808,0.404,1.0,1.0,1.0
256,2,middle,3,3,111.0,111.0,2.0,-6.669,12.605,1.0,1.0,1.0
256,2,late,3,3,31.0,31.0,2.0,10.620,28.735,1.0,1.0,1.0
1024,0,early,3,3,975.0,975.0,2.0,-184.142,-166.606,1.0,1.0,1.0
1024,0,middle,3,3,655.0,655.0,2.0,-123.258,-105.427,1.0,1.0,1.0
1024,0,late,3,3,319.0,319.0,2.0,-45.049,-29.513,1.0,1.0,1.0
1024,1,early,3,3,959.0,959.0,2.0,-182.715,-164.264,1.0,1.0,1.0
1024,1,middle,3,3,639.0,639.0,2.0,-122.153,-104.899,1.0,1.0,1.0
1024,1,late,3,3,303.0,303.0,2.0,-44.987,-28.873,1.0,1.0,1.0
1024,2,early,3,3,943.0,943.0,2.0,-181.695,-161.554,1.0,1.0,1.0
1024,2,middle,3,3,623.0,623.0,2.0,-120.558,-103.407,1.0,1.0,1.0
1024,2,late,3,3,287.0,287.0,2.0,-42.978,-26.802,1.0,1.0,1.0
4096,0,early,3,3,4047.0,4047.0,2.0,-881.133,-844.211,1.0,1.0,1.0
4096,0,middle,3,3,2703.0,2703.0,2.0,-610.933,-581.764,1.0,1.0,1.0
4096,0,late,3,3,1343.0,1343.0,2.0,-310.465,-288.293,1.0,1.0,1.0
4096,1,early,3,3,4031.0,4031.0,2.0,-878.276,-843.448,1.0,1.0,1.0
4096,1,middle,3,3,2687.0,2687.0,2.0,-609.461,-579.804,1.0,1.0,1.0
4096,1,late,3,3,1327.0,1327.0,2.0,-309.395,-287.819,1.0,1.0,1.0
4096,2,early,3,3,4015.0,4015.0,2.0,-877.412,-839.639,1.0,1.0,1.0
4096,2,middle,3,3,2671.0,2671.0,2.0,-608.934,-579.238,1.0,1.0,1.0
4096,2,late,3,3,1311.0,1311.0,2.0,-307.561,-283.963,1.0,1.0,1.0
