target_tokens,edit_radius,quality_scenario,position,repetitions,valid_repetitions,invalid_repetitions,valid_measurement_rate,executed_repetitions,execution_reasons,mean_selected_reuse_rows,mean_reused_rows,mean_span_count,mean_shadow_forward_ms,mean_active_preparation_ms,mean_active_copy_ms,mean_active_forward_ms,mean_forward_delta_ms,mean_selector_overhead_ms,mean_active_vs_native_ttft_ms,mean_ttft_delta_ms,native_quality_pass_rate,shadow_quality_pass_rate,reference_quality_pass_rate,active_quality_pass_rate,shadow_native_exact_match_rate,active_shadow_exact_match_rate,active_native_exact_match_rate,mean_active_shadow_word_similarity,mean_active_native_word_similarity
256,0,direct,early,3,3,0,1.0,3,eligible,207.0,207.0,2.0,58.445482889811196,0.6864254052440325,1.1004586617151897,37.66067123413086,-20.78481165568034,16.05977552632491,-3.3222070584694543,-19.38198258479436,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
256,0,direct,middle,3,3,0,1.0,3,eligible,143.0,143.0,2.0,46.745599110921226,0.6911937768260638,1.1178666750590007,37.78150304158529,-8.964096069335938,15.509086040159067,8.754228552182516,-6.754857487976551,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
256,0,direct,late,3,3,0,1.0,3,eligible,63.0,63.0,2.0,32.549888610839844,0.7341848686337471,1.0970453023910522,39.926100413004555,7.376211802164714,16.257903228203457,24.888658275206883,8.630755047003428,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
256,0,composed,early,3,3,0,1.0,3,eligible,207.0,207.0,2.0,58.19596862792969,0.6959410384297371,1.145855983098348,37.78594080607096,-20.410027821858723,16.299638897180557,-2.0938140029708543,-18.393452900151413,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
256,0,composed,middle,3,3,0,1.0,3,eligible,143.0,143.0,2.0,47.20503489176432,0.7497351616621017,1.1509759823481243,37.92042668660482,-9.284608205159506,16.63240573058526,8.894783444702625,-7.737622285882632,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
256,0,composed,late,3,3,0,1.0,3,eligible,79.0,79.0,2.0,32.25292841593424,0.7089882468183836,1.1441493431727092,37.947391510009766,5.6944630940755205,15.575057826936245,23.503778502345085,7.92872067540884,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
256,0,conflict,early,3,3,0,1.0,3,eligible,192.0,192.0,2.0,57.806165059407554,0.7298644632101059,1.1141119798024495,40.07355753580729,-17.73260752360026,15.951493134101232,-0.5317336569229761,-16.483226791024208,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
256,0,conflict,middle,3,3,0,1.0,3,eligible,128.0,128.0,2.0,48.27613830566406,0.7453147942821184,1.1025066773096721,42.05670420328776,-6.219434102376302,15.640173728267351,11.652694394191107,-3.9874793340762458,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
256,0,conflict,late,3,3,0,1.0,3,eligible,80.0,80.0,2.0,32.7062193552653,0.7634113232294718,1.1386879682540894,40.10052235921224,7.39430300394694,15.090981808801493,24.414059706032276,9.323077897230784,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
256,0,conflict_3,early,3,3,0,1.0,3,eligible,207.0,207.0,2.0,58.91857020060221,0.7118278493483862,1.1373226642608643,37.6893424987793,-21.229227701822918,16.804305836558342,-2.5339539473255477,-19.33825978388389,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
256,0,conflict_3,middle,3,3,0,1.0,3,eligible,175.0,175.0,2.0,55.51854960123698,0.6815604865550995,1.1055787007013957,37.67466735839844,-17.843882242838543,16.224937823911507,-0.32163411378860474,-16.54657193770011,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
256,0,conflict_3,late,3,3,0,1.0,3,eligible,143.0,143.0,2.0,47.522132873535156,0.6878596420089403,1.0963627099990845,37.73405838012695,-9.788074493408203,16.121627452472847,7.628541129330794,-8.493086323142052,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
256,0,conflict_5,early,3,3,0,1.0,3,eligible,207.0,207.0,2.0,58.80183537801107,0.7028551772236824,1.152341326077779,37.76648457845052,-21.035350799560547,16.06479628632466,-3.2783706362048783,-19.343166922529537,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,0.5
256,0,conflict_5,middle,3,3,0,1.0,3,eligible,191.0,191.0,2.0,55.83325958251953,0.6922952209909757,1.1001173257827759,37.82963180541992,-18.00362777709961,15.876800442735354,-0.9272517636418343,-16.80405220637719,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
256,0,conflict_5,late,3,3,0,1.0,3,eligible,175.0,175.0,2.0,56.03669357299805,0.6929816057284673,1.1035306851069133,37.7084592183431,-18.32823435465495,15.648633862535158,-0.8850985517104467,-16.533732414245605,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
256,0,pointer,early,3,3,0,1.0,3,eligible,207.0,207.0,2.0,58.44240951538086,0.6887838244438171,1.1069440046946208,37.67398452758789,-20.76842498779297,16.15235364685456,-3.413839265704155,-19.566192912558716,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
256,0,pointer,middle,3,3,0,1.0,3,eligible,159.0,159.0,2.0,48.03583908081055,0.7040640339255333,1.173845370610555,37.77126439412435,-10.264574686686197,15.202112185458342,7.059941068291664,-8.142171117166678,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
256,0,pointer,late,3,3,0,1.0,3,eligible,95.0,95.0,2.0,33.25986099243164,0.6883883227904638,1.106943964958191,37.9770876566569,4.717226664225261,15.608871976534525,22.024815591673057,6.415943615138531,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
256,0,rule,early,3,3,0,1.0,3,eligible,48.0,48.0,4.0,58.605909983317055,1.3516222437222798,1.1089919805526733,96.65365346272786,38.047743479410805,16.432872973382473,56.71671995272239,40.28384697933992,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
256,0,rule,middle,3,0,3,0.0,0,invalid_measurements,,,,,,,,,,,,,,,,,,,,
256,0,rule,late,3,0,3,0.0,0,invalid_measurements,,,,,,,,,,,,,,,,,,,,
256,1,direct,early,3,3,0,1.0,3,eligible,191.0,191.0,2.0,57.659732818603516,0.7405060653885206,1.1407359441121419,39.437313079833984,-18.22241973876953,15.44178556650877,-1.1911764740943909,-16.63296204060316,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
256,1,direct,middle,3,3,0,1.0,3,eligible,127.0,127.0,2.0,47.36955769856771,0.7483242079615593,1.141760031382243,39.634602864583336,-7.734954833984375,15.857690324385961,10.333310502270857,-5.524379822115104,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
256,1,direct,late,3,3,0,1.0,3,eligible,47.0,47.0,2.0,32.09864489237467,0.755211648841699,1.097386638323466,40.518314361572266,8.419669469197592,14.333146003385385,24.175117413202923,9.841971409817537,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
